Main.Studies.InverseDynamicStudy.t,Main.Studies.InverseDynamicStudy.KneeTesterOutput.OutputFile.KneeFlexion,Main.Studies.InverseDynamicStudy.KneeTesterOutput.OutputFile.QcepsForce,Main.Studies.InverseDynamicStudy.KneeTesterOutput.OutputFile.ContactForceX,Main.Studies.InverseDynamicStudy.KneeTesterOutput.OutputFile.ContactForceY
5.119999999999999e+000,4.235277572194861e+000,1.137322450318825e-008,5.529430578730850e+001,4.449757387680651e+002
5.128057471264367e+000,5.570759168583964e+000,1.137043369533959e-008,3.455349721826809e+001,2.580432138209910e+002
5.136114942528735e+000,6.874002004992120e+000,1.151449277673450e-008,4.415025800699416e+001,3.172692415976466e+002
5.144172413793103e+000,8.059233103685106e+000,1.136311542975615e-008,4.103984483340875e+001,3.014739130312670e+002
5.152229885057471e+000,9.071256661112580e+000,1.144064674421657e-008,4.139729586548769e+001,3.218380493140229e+002
5.160287356321839e+000,9.890107243608512e+000,1.163789298435112e-008,4.819790191803860e+001,3.655712237951602e+002
5.168344827586207e+000,1.052924635756744e+001,1.207381478442820e-008,6.338640505104550e+001,4.247049750427261e+002
5.176402298850575e+000,1.102960251694575e+001,2.238257491741847e+000,8.049844727093006e+001,4.851492996140751e+002
5.184459770114943e+000,1.145146098872414e+001,4.172540919244577e+001,1.217576068179725e+002,6.313126698445914e+002
5.192517241379311e+000,1.186360933137915e+001,8.789489266189287e+001,1.685308677630059e+002,7.769080762751082e+002
5.200574712643679e+000,1.232939998588526e+001,1.408668035090782e+002,2.200900154921062e+002,9.121882254744301e+002
5.208632183908047e+000,1.289178545749814e+001,2.014813164727073e+002,2.762949805904881e+002,1.031774145379259e+003
5.216689655172415e+000,1.356072671919565e+001,2.707788467790311e+002,3.371748763547432e+002,1.136950611904679e+003
5.224747126436783e+000,1.430781724775991e+001,3.483496253351781e+002,4.014756153692562e+002,1.232579725788299e+003
5.232804597701151e+000,1.507299076994873e+001,4.297676163162903e+002,4.652885946001253e+002,1.319711076033213e+003
5.240862068965519e+000,1.578278693625818e+001,5.098385806546544e+002,5.245085171161757e+002,1.398378953753898e+003
5.248919540229887e+000,1.637262085846763e+001,5.744912411649310e+002,5.696849980903105e+002,1.452924207172028e+003
5.256977011494254e+000,1.680374235514885e+001,6.163848081834108e+002,5.968310755261899e+002,1.477710549812707e+003
5.265034482758622e+000,1.706913389779373e+001,6.339094082721529e+002,6.063242787656747e+002,1.475150341007968e+003
5.273091954022990e+000,1.718819505885656e+001,6.336751588860491e+002,6.041176480399602e+002,1.459942861093291e+003
5.281149425287358e+000,1.719506300325650e+001,6.250607497832000e+002,5.971589296887323e+002,1.448222044006945e+003
5.289206896551726e+000,1.712686166689735e+001,6.130151250338504e+002,5.885870786246643e+002,1.445616228820034e+003
5.297264367816094e+000,1.701565977304454e+001,6.016203503770857e+002,5.806555027908048e+002,1.452998293721237e+003
5.305321839080462e+000,1.688461189237265e+001,5.925914149565130e+002,5.738876867059462e+002,1.466437670240617e+003
5.313379310344830e+000,1.674699862581316e+001,5.852302827411425e+002,5.673684712440597e+002,1.478930897970774e+003
