Time(sec)	Fx	Fy	Fz	Tx	Ty	Tz	GON	GRFz
2.925	23.1	5.78	204.2	20.07	70.83	18.59	3.0271	0.1997
2.9334	18.39	4.9	214.4	21.42	68.27	16.3	3.0385	0.2019
2.9417	13.64	4.52	218.84	20.64	66.15	12.62	3.043	0.2032
2.95	10.48	5.12	224.64	19.63	65.79	8.61	3.0472	0.2044
2.9584	9.22	5.3	231.83	18.96	66.97	5.44	3.0514	0.2057
2.9667	9.48	4.47	237.54	18.38	67.62	3.38	3.0558	0.2069
2.975	9.96	5.85	237.35	15.57	66.68	2.9	3.0601	0.2081
2.9834	10.57	9.69	231.44	10.31	64.46	3.87	3.0626	0.2106
2.9917	11.5	15.27	227.01	3.52	62.81	4.89	3.0651	0.2131
3	13.1	21.57	227.98	-3.15	61.64	5.72	3.0668	0.2158
3.0084	15.62	27.47	234.39	-9.22	60.68	6.37	3.068	0.2186
3.0167	17.51	31.98	239.17	-16.4	58.56	6.15	3.073	0.2216
3.025	18.58	35.16	242.13	-23.66	54.93	5.52	3.1063	0.2262
3.0334	18.96	37.69	245.89	-29.44	51.47	4.82	3.1397	0.2308
3.0417	18.84	39.89	252.06	-33.6	49.34	3.91	3.1322	0.234
3.05	18.18	41.09	258.21	-37.06	48.03	2.03	3.1231	0.2372
3.0584	17.24	40.54	261.63	-38.95	45.47	0.08	3.111	0.2403
3.0667	15.97	38.54	262.88	-39.78	42.39	-1.79	3.0951	0.2434
3.075	14	36.47	262.17	-40.56	39.67	-3.47	3.0792	0.2464
3.0834	11.33	34.36	259.47	-41.32	37.33	-4.97	3.0788	0.2484
3.0917	9.08	32.68	255.1	-40.62	35.63	-5.75	3.0823	0.2502
3.1	7.5	31.35	249.31	-39.75	34.99	-6.4	3.0914	0.251
3.1084	7.01	30.23	243.86	-39.26	35.15	-7.23	3.1057	0.251
3.1167	8	29.86	242.06	-38.38	36.14	-7.57	3.12	0.251
3.125	10.03	30.22	244.05	-37.02	37.82	-7.04	3.1083	0.2498
3.1334	12.2	30.68	248.39	-35.05	39	-5.51	3.0967	0.2485
3.1417	14.57	30.97	254.57	-32	39	-3.11	3.0865	0.2475
3.15	17.68	30.76	259.48	-26.77	39.13	0.27	3.0773	0.2466
