Time(sec)	Fx	Fy	Fz	Tx	Ty	Tz	GON	GRFz
2.083333	-0.73	8.5	0	-49.78	-26.67	-23.17	2.1806	0.1175
2.091633	-1.87	9.53	0	-51.39	-21.34	-22.92	2.1917	0.1167
2.099933	-2.45	11.49	0	-49.51	-14.78	-20.81	2.1935	0.1157
2.108333	-3.28	12.29	0	-46.03	-8.52	-18.5	2.1979	0.1149
2.116633	-4.5	11.67	0	-42.3	-3.13	-16.66	2.2121	0.1145
2.124933	-6	10.74	0	-39.97	1.14	-15.93	2.2264	0.1141
2.133333	-7.22	11.28	0	-37.2	5.43	-15.57	2.2285	0.1134
2.141633	-8.57	11.77	6.05	-32.1	9.58	-14.85	2.2247	0.1126
2.149933	-10.88	10.64	15.75	-26.31	12.62	-14.02	2.2293	0.112
2.158333	-13.55	8.14	25.1	-19.97	14.56	-13.03	2.2555	0.112
2.166633	-15.15	4.89	30.15	-14.05	15.41	-12.16	2.2817	0.112
2.174933	-15.53	0.96	30.2	-8.92	15.19	-11.54	2.2978	0.112
2.183333	-17.12	-3.12	26.37	-6.21	13.74	-11.66	2.3107	0.112
2.191633	-20.24	-7.32	20.97	-3.76	11.88	-11.63	2.3263	0.1119
2.199933	-22.63	-11.16	15.75	-0.49	9.81	-10.87	2.3465	0.1115
2.208333	-23.06	-13.21	9.95	1.6	7.51	-9.98	2.3668	0.1111
2.216633	-21.46	-13.09	3.07	1.72	4.95	-9.23	2.37	0.1114
2.224933	-19.81	-11.9	1.55	-1.01	2.23	-10.18	2.37	0.1119
2.233333	-19.33	-10.18	8.34	-6.45	-0.67	-13.03	2.3875	0.1118
2.241633	-21.26	-8.77	16.15	-13.38	-3.84	-16.7	2.4132	0.1114
2.249933	-23.5	-8.53	22.46	-18.71	-6.83	-19.95	2.4389	0.111
2.258333	-24.93	-9.26	28.48	-21.82	-9.41	-22.47	2.461	0.111
2.266633	-25.8	-10.55	36.43	-23.48	-11.38	-24.44	2.4828	0.111
2.274933	-27.15	-12.61	45.49	-24.18	-12.83	-26.14	2.5031	0.111
2.283333	-29.9	-15.52	53.74	-25.29	-13.86	-28.32	2.5229	0.111
2.291633	-33.04	-18.49	55.45	-26.34	-14.61	-29.76	2.542	0.111
2.299933	-35.91	-21.03	50.75	-26.89	-15.16	-30.06	2.5587	0.111
2.308333	-36.15	-21.37	48.18	-27.42	-15.56	-29.77	2.5753	0.111
2.316633	-33.36	-19.24	50.03	-28.33	-15.77	-29.24	2.598	0.1119
2.324933	-28.69	-15.72	56.26	-30.64	-15.4	-29.19	2.623	0.1131
2.333333	-24.28	-11.94	63.17	-34.93	-14.72	-30.19	2.647	0.1141
2.341633	-20.25	-8.11	69.48	-40.08	-13.89	-31.61	2.6688	0.1145
2.349933	-15.84	-4.51	75.14	-43.06	-13.04	-31.7	2.6906	0.1149
2.358333	-10.63	-1.01	81.17	-43.55	-12.14	-30.33	2.7037	0.1157
2.366633	-4.66	2.66	89.07	-43.46	-11.14	-28.74	2.7145	0.1165
2.374933	0.95	5.56	97.59	-43.53	-9.89	-27.46	2.7291	0.1175
2.383333	5.87	7.8	106.66	-43.12	-7.83	-26.02	2.7492	0.1188
2.391633	10.51	10.21	115.06	-41.06	-5.24	-23.61	2.7691	0.1201
2.399933	14.68	12.7	121.99	-37.29	-2.52	-20.22	2.7866	0.1209
2.408333	17.25	14.4	126.78	-33.71	-0.43	-17.07	2.8041	0.1218
2.416633	18.38	15.64	131.38	-31.99	1.24	-15.11	2.8181	0.1231
2.424933	20.27	18.09	136.23	-31.05	3.08	-13.15	2.8308	0.1247
2.433333	23.01	21.52	139.45	-29.12	5.23	-9.9	2.8446	0.1262
2.441633	25.65	24.67	139.95	-26.36	7.3	-5.98	2.8625	0.127
2.449933	26.07	24.28	134.98	-23.84	7.66	-3.44	2.8804	0.1278
2.458333	24.39	20.29	124.57	-21.82	6.1	-2.45	2.9157	0.1286
2.466633	22.17	17.45	115.25	-19.78	4.7	-1.49	2.9554	0.1294
2.474933	20.82	17.49	109.81	-16.88	4.68	0.2	2.9853	0.1301
2.483333	20.77	18.76	106.9	-13.53	5.55	2.34	2.9899	0.1305
2.491633	20.06	18.42	104.87	-10.85	6.44	3.68	2.9945	0.1309
2.499933	18.05	15.97	103.5	-8.98	7.32	3.96	3.017	0.1314
2.508333	15.18	12.26	103.42	-7.22	9.85	3.88	3.042	0.1318
2.516633	13.86	10.47	107.43	-5.13	15.08	5.03	3.0432	0.132
2.524933	14.07	11.18	115.58	-4.81	21.32	6.44	3.0285	0.132
2.533333	14.54	10.39	121.84	-8.22	25.38	6.01	3.0163	0.132
2.541633	15.19	7.54	125.98	-14.89	26.99	3.78	3.033	0.132
2.549933	16.11	4.62	132.34	-21.64	26.46	1.33	3.0497	0.132
2.558333	17.01	2.72	141.83	-28.23	24.11	-1.16	3.0572	0.1322
2.566633	16.52	0.25	150.5	-33.66	21.58	-3.07	3.0576	0.1327
2.574933	14.99	-2.63	158.25	-38.35	17.87	-4.42	3.0611	0.133
2.583333	13.27	-5.43	165.57	-42.05	13.53	-5.6	3.0804	0.133
2.591633	12.35	-8.24	172.94	-42.37	10.87	-6.11	3.0997	0.133
2.599933	12.25	-11.49	180.32	-37.66	11.22	-5.21	3.1053	0.1334
2.608333	10.9	-14.63	185.68	-34.98	11.22	-3.86	3.109	0.1338
2.616633	7.69	-17.97	185.96	-37.37	10.89	-3.39	3.1074	0.134
2.624933	3.78	-21.85	182.84	-40.45	12.37	-3.38	3.0998	0.134
2.633333	1.51	-24.92	181.64	-41.82	15.6	-4.12	3.0923	0.134
2.641633	1	-26.9	182.87	-41.7	20.27	-5.66	3.0936	0.1336
