---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_ngait_og_ss8\PS_ngait_og_ss8-output-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarEversion
3.128333333333333e+000 5.153732450459801e-001 2.029410844263990e-001 1.280467555346788e-001 1.061014835502236e-001 -2.584833193964657e-002 2.100362730914711e-001
3.136380952380952e+000 5.163627037227132e-001 2.003505804182606e-001 1.283437880730635e-001 1.267951933348281e-001 -2.236543231540148e-002 2.239992619914633e-001
3.144428571428571e+000 5.151643560460644e-001 1.977663252409225e-001 1.278661976444093e-001 1.440391487638981e-001 -2.257890981941347e-002 2.375114891054282e-001
3.152476190476190e+000 5.120406941322351e-001 1.952146160099286e-001 1.263848394248587e-001 1.568926830712092e-001 -2.765013838957262e-002 2.486103505949594e-001
3.160523809523809e+000 5.075318431181441e-001 1.927084496633771e-001 1.239992195632923e-001 1.653694077820436e-001 -3.809853823292485e-002 2.563578834630801e-001
3.168571428571428e+000 5.023797242996362e-001 1.901812018622033e-001 1.210571286685568e-001 1.704433665221976e-001 -5.319379463707016e-002 2.612463078752543e-001
3.176619047619047e+000 4.973952525027170e-001 1.874357704243683e-001 1.180682956116861e-001 1.738226453362770e-001 -7.079910836957359e-002 2.647816942601032e-001
3.184666666666665e+000 4.933221342229219e-001 1.841487820086576e-001 1.155986892335551e-001 1.775576058927008e-001 -8.780129039076759e-002 2.684341446813068e-001
3.192714285714284e+000 4.906787001937863e-001 1.799065347582187e-001 1.141195059020523e-001 1.835251487830072e-001 -1.009981060908576e-001 2.727984847586650e-001
3.200761904761903e+000 4.895772030284161e-001 1.742775338960552e-001 1.139040601132020e-001 1.929054848141441e-001 -1.080778471801482e-001 2.775068748701425e-001
3.208809523809522e+000 4.895985911586623e-001 1.669416213302133e-001 1.150492039292066e-001 2.058528816334886e-001 -1.082490258834771e-001 2.817714177047501e-001
3.216857142857141e+000 4.898453453349266e-001 1.578320147580707e-001 1.175544525224490e-001 2.215117549780518e-001 -1.022481579205785e-001 2.850313675089110e-001
3.224904761904760e+000 4.892087398020785e-001 1.471986383650765e-001 1.213542236904466e-001 2.383596975998430e-001 -9.179392260066428e-002 2.872104751030843e-001
3.232952380952379e+000 4.867240583330596e-001 1.355401537530849e-001 1.262961926381340e-001 2.546985211618145e-001 -7.882918604809686e-002 2.885389904936985e-001
3.240999999999997e+000 4.818343588073435e-001 1.234427071810773e-001 1.321254262916268e-001 2.690823039023185e-001 -6.492451434670553e-002 2.892843250730640e-001
3.249047619047616e+000 4.744880955652998e-001 1.114237653071248e-001 1.384992527904664e-001 2.805830214300289e-001 -5.102792898511047e-002 2.896467690525172e-001
3.257095238095235e+000 4.650902793460066e-001 9.983879400949292e-002 1.450125722742956e-001 2.888813257866273e-001 -3.753099370922680e-002 2.897976589652309e-001
3.265142857142854e+000 4.543407477336654e-001 8.884168345962507e-002 1.512306130629146e-001 2.941875072234912e-001 -2.450564739537653e-002 2.899345044293057e-001
3.273190476190473e+000 4.430094681105380e-001 7.839898633656151e-002 1.567575311382843e-001 2.970502521769222e-001 -1.193676066105606e-002 2.902668210367884e-001
3.281238095238092e+000 4.317250419796211e-001 6.837084425940132e-002 1.613342841503080e-001 2.981453942627682e-001 1.620993732977446e-004 2.909353160733059e-001
3.289285714285711e+000 4.208407806496576e-001 5.862339208074752e-002 1.649009944933600e-001 2.980986521091433e-001 1.174088051161465e-002 2.919438601118509e-001
3.297333333333330e+000 4.104039671699790e-001 4.910676088902055e-002 1.675796187486048e-001 2.973655771005136e-001 2.274027439780870e-002 2.931536980849940e-001
3.305380952380948e+000 4.002218711821277e-001 3.987940823221736e-002 1.695946842642153e-001 2.961959988637688e-001 3.311507103171710e-002 2.943113753228827e-001
3.313428571428567e+000 3.899928637287064e-001 3.110295680047948e-002 1.711753721746659e-001 2.946822311843255e-001 4.285509701837584e-002 2.951019399195354e-001
3.321476190476186e+000 3.794491702421156e-001 2.300705893944843e-002 1.724792134217812e-001 2.928359828382381e-001 5.199549673979951e-002 2.952535936915509e-001
3.329523809523805e+000 3.684518556528462e-001 1.581056086318489e-002 1.735621680849433e-001 2.906396900341826e-001 6.060520948156094e-002 2.946446755761123e-001
3.337571428571424e+000 3.570003960795081e-001 9.625332673253384e-003 1.743944136763787e-001 2.880617649541328e-001 6.876591517454915e-002 2.933352371233040e-001
3.345619047619043e+000 3.451775525704555e-001 4.397245673193329e-003 1.748936186066223e-001 2.850556574407837e-001 7.655494671036291e-002 2.915451912553204e-001
3.353666666666662e+000 3.330995363900121e-001 -7.661242877254892e-005 1.749449393254737e-001 2.815732329931773e-001 8.403298377621241e-002 2.896284051743698e-001
3.361714285714280e+000 3.209054592018314e-001 -4.060405122599420e-003 1.744154660100918e-001 2.775966531739695e-001 9.124024560507009e-002 2.880154901196642e-001
3.369761904761899e+000 3.087479716140921e-001 -7.776655694284651e-003 1.731921826162491e-001 2.731518291978504e-001 9.820204262262523e-002 2.871039473492171e-001
3.377809523809518e+000 2.967560270346685e-001 -1.134884416364024e-002 1.712356672538755e-001 2.682857982936845e-001 1.049335520777264e-001 2.871512191661670e-001
3.385857142857137e+000 2.849956371431593e-001 -1.481164141385238e-002 1.686076675296240e-001 2.630374066758557e-001 1.114384417603603e-001 2.882395746676691e-001
3.393904761904756e+000 2.734563289053278e-001 -1.816997520044339e-002 1.654485520041991e-001 2.574230695750630e-001 1.177063809798728e-001 2.903316330525338e-001
3.401952380952375e+000 2.620653899714146e-001 -2.145801117677171e-002 1.619230631166157e-001 2.514343909265626e-001 1.237152447821363e-001 2.933638494740595e-001
3.409999999999994e+000 2.507210260206176e-001 -2.475295061321070e-002 1.581728317682557e-001 2.450475265550346e-001 1.294391519917584e-001 2.972915908423502e-001
3.418047619047612e+000 2.393235684532478e-001 -2.814773540336368e-002 1.542929940319571e-001 2.382414481024124e-001 1.348582925443890e-001 3.020660697402635e-001
3.426095238095231e+000 2.277872258302084e-001 -3.171682048901969e-002 1.503297382379599e-001 2.310166603793553e-001 1.399688483768204e-001 3.075873463275153e-001
3.434142857142850e+000 2.160432818396633e-001 -3.549127967868437e-002 1.463061219775525e-001 2.234238932739746e-001 1.447971857493982e-001 3.136462115216505e-001
