Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos[0],Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos[0]
  2.583333333333334e-01,  4.763657959381990e-02,  2.466997557716444e-02,  2.387107567018647e-01,  2.271602001673059e-01, -1.165763986034685e-01,  5.222798977831746e-02
  2.666666666666667e-01,  4.753280879021683e-02,  2.466823096648052e-02,  2.387244061590506e-01,  2.271463601247620e-01, -1.165480417677730e-01,  5.220542193492673e-02
  2.750000000000000e-01,  4.743282373937482e-02,  2.467623340472258e-02,  2.387296009869315e-01,  2.271388582131550e-01, -1.165230105926051e-01,  5.217136163944140e-02
  2.833333333333334e-01,  4.733527759679759e-02,  2.469351982441736e-02,  2.387278697826910e-01,  2.271353832265560e-01, -1.165004651901544e-01,  5.212497580162045e-02
  2.916666666666667e-01,  4.724049619054862e-02,  2.471856767880154e-02,  2.387201412206182e-01,  2.271340945431999e-01, -1.164796655034571e-01,  5.206783171848911e-02
  3.000000000000000e-01,  4.714855057408674e-02,  2.474918812730720e-02,  2.387075654155761e-01,  2.271328106646462e-01, -1.164597320889501e-01,  5.200299342914307e-02
  3.083333333333333e-01,  4.705884301105245e-02,  2.478296884265707e-02,  2.386918699616207e-01,  2.271287254440945e-01, -1.164395091428845e-01,  5.193405182371350e-02
  3.166666666666667e-01,  4.697014098658514e-02,  2.481762122121811e-02,  2.386752361655255e-01,  2.271185703474908e-01, -1.164175791788809e-01,  5.186447000133174e-02
  3.250000000000000e-01,  4.688085268866982e-02,  2.485112931808775e-02,  2.386599759255941e-01,  2.270990704752380e-01, -1.163924202642075e-01,  5.179731563634793e-02
  3.333333333333334e-01,  4.678925393687727e-02,  2.488178065326130e-02,  2.386483302860102e-01,  2.270673196993521e-01, -1.163625041904562e-01,  5.173501416465753e-02
  3.416666666666667e-01,  4.669369156974577e-02,  2.490818846662934e-02,  2.386423448558740e-01,  2.270209410653403e-01, -1.163263563386290e-01,  5.167912850491237e-02
  3.500000000000000e-01,  4.659292141125204e-02,  2.492933597621061e-02,  2.386435945556987e-01,  2.269582216651128e-01, -1.162827402871010e-01,  5.163042580588321e-02
  3.583333333333334e-01,  4.648645254969494e-02,  2.494458015606194e-02,  2.386529809443900e-01,  2.268783003906755e-01, -1.162308595112096e-01,  5.158904478504152e-02
  3.666666666666667e-01,  4.637460060742260e-02,  2.495358455143393e-02,  2.386709823589951e-01,  2.267812562838796e-01, -1.161704059758969e-01,  5.155445851384954e-02
  3.750000000000000e-01,  4.625825759456839e-02,  2.495622285406207e-02,  2.386980921110611e-01,  2.266680370486917e-01, -1.161015054196890e-01,  5.152536065562827e-02
  3.833333333333334e-01,  4.614074482591572e-02,  2.495246589781819e-02,  2.387346124591156e-01,  2.265410257675700e-01, -1.160249784018918e-01,  5.150013337761802e-02
  3.916666666666667e-01,  4.601951482441581e-02,  2.494235525937061e-02,  2.387812469953517e-01,  2.264013282417306e-01, -1.159410822731646e-01,  5.147577446052662e-02
  4.000000000000000e-01,  4.589857752785588e-02,  2.492589907196652e-02,  2.388372017868458e-01,  2.262527137276698e-01, -1.158513703478755e-01,  5.145067676660496e-02
  4.083333333333333e-01,  4.578016105701851e-02,  2.490321431891385e-02,  2.389011731869872e-01,  2.260987459461237e-01, -1.157574006246933e-01,  5.142355092556482e-02
  4.166666666666667e-01,  4.566616180902430e-02,  2.487458797512443e-02,  2.389715397340846e-01,  2.259429547504081e-01, -1.156609185953195e-01,  5.139400181564430e-02
  4.250000000000000e-01,  4.555801715044539e-02,  2.484040582106806e-02,  2.390466318862328e-01,  2.257886115635030e-01, -1.155638524402346e-01,  5.136269708924826e-02
  4.333333333333333e-01,  4.545670303728879e-02,  2.480104696814767e-02,  2.391248239292436e-01,  2.256386482668041e-01, -1.154683265851499e-01,  5.133136172070911e-02
  4.416666666666667e-01,  4.536268542163120e-02,  2.475691998950347e-02,  2.392047666573063e-01,  2.254955593538546e-01, -1.153765893221598e-01,  5.130247084865962e-02
  4.500000000000001e-01,  4.527580219488433e-02,  2.470859439460860e-02,  2.392857121714965e-01,  2.253613341662783e-01, -1.152908530430740e-01,  5.127874480651681e-02
  4.583333333333334e-01,  4.519536718481129e-02,  2.465686206571460e-02,  2.393675647134371e-01,  2.252375473726297e-01, -1.152131448059740e-01,  5.126275207212132e-02
  4.666666666666667e-01,  4.512050321383698e-02,  2.460270418011712e-02,  2.394506583779046e-01,  2.251255020737426e-01, -1.151452064070360e-01,  5.125668920268889e-02
  4.750000000000000e-01,  4.505036544054510e-02,  2.454727079074215e-02,  2.395355843408454e-01,  2.250263216823531e-01, -1.150884283530484e-01,  5.126216676534827e-02
  4.833333333333334e-01,  4.498416689509377e-02,  2.449192714096293e-02,  2.396231882558418e-01,  2.249410644235311e-01, -1.150438374132068e-01,  5.127999506293854e-02
  4.916666666666667e-01,  4.492113219546836e-02,  2.443830090523669e-02,  2.397146690147454e-01,  2.248708172282458e-01, -1.150121505580173e-01,  5.131004733713679e-02
  5.000000000000000e-01,  4.486042235049450e-02,  2.438826386062676e-02,  2.398116971895123e-01,  2.248166790106953e-01, -1.149938846637202e-01,  5.135119760151216e-02
  5.083333333333333e-01,  4.480111202787732e-02,  2.434383542159901e-02,  2.399164446840510e-01,  2.247797698421624e-01, -1.149895305961898e-01,  5.140144128383349e-02
  5.166666666666667e-01,  4.474224705519475e-02,  2.430702675263419e-02,  2.400314948426780e-01,  2.247613120418732e-01, -1.149997589945862e-01,  5.145822190502026e-02
  5.250000000000000e-01,  4.468284059753899e-02,  2.427971832039932e-02,  2.401596743705482e-01,  2.247626073200909e-01, -1.150255479556055e-01,  5.151866115167902e-02
  5.333333333333334e-01,  4.462034028143693e-02,  2.426375250754109e-02,  2.403043728270564e-01,  2.247843706487599e-01, -1.150680655514332e-01,  5.157949924382821e-02
  5.416666666666667e-01,  4.455605614942625e-02,  2.426032320272986e-02,  2.404670314683000e-01,  2.248288267308538e-01, -1.151288293514513e-01,  5.163756128125308e-02
  5.500000000000000e-01,  4.448788448396102e-02,  2.427060765870226e-02,  2.406499472012928e-01,  2.248967224946715e-01, -1.152089777779770e-01,  5.168976732040446e-02
  5.583333333333333e-01,  4.441528904025538e-02,  2.429522576344056e-02,  2.408540695090443e-01,  2.249891347138252e-01, -1.153094379715502e-01,  5.173383710763736e-02
  5.666666666666667e-01,  4.433827680091951e-02,  2.433434448289229e-02,  2.410793017712361e-01,  2.251066442200406e-01, -1.154306774964163e-01,  5.176848115240763e-02
  5.750000000000000e-01,  4.425746680566169e-02,  2.438765619339400e-02,  2.413242173783703e-01,  2.252489132273960e-01, -1.155723991085039e-01,  5.179320965470750e-02
  5.833333333333334e-01,  4.417399154389811e-02,  2.445435622435688e-02,  2.415858287704144e-01,  2.254142019250546e-01, -1.157332491278409e-01,  5.180832673131667e-02
  5.916666666666667e-01,  4.408905688581815e-02,  2.453312180422174e-02,  2.418595109645641e-01,  2.255989430403919e-01, -1.159107439973048e-01,  5.181573389652773e-02
  6.000000000000001e-01,  4.400354641604967e-02,  2.462211504926470e-02,  2.421390909563210e-01,  2.257977278342195e-01, -1.161014645840728e-01,  5.181993373568163e-02
  6.083333333333334e-01,  4.391800859254946e-02,  2.471911670223359e-02,  2.424173545479131e-01,  2.260039054083499e-01, -1.163014650437966e-01,  5.182801701174006e-02
  6.166666666666667e-01,  4.383294968589353e-02,  2.482180527407185e-02,  2.426870081792261e-01,  2.262106633304369e-01, -1.165067486267013e-01,  5.184839249710747e-02
  6.250000000000000e-01,  4.374903435210178e-02,  2.492800328907419e-02,  2.429416299731615e-01,  2.264119010859675e-01, -1.167135254832045e-01,  5.188918000323338e-02
  6.333333333333334e-01,  4.366688319274772e-02,  2.503577258404044e-02,  2.431761449492008e-01,  2.266022912018787e-01, -1.169181473032602e-01,  5.195718267791832e-02
  6.416666666666667e-01,  4.358673209522793e-02,  2.514342576614959e-02,  2.433867709313018e-01,  2.267769016107152e-01, -1.171170178614782e-01,  5.205760107608310e-02
  6.500000000000001e-01,  4.350844550725090e-02,  2.524951731966474e-02,  2.435709209959329e-01,  2.269310858468366e-01, -1.173067120782071e-01,  5.219392948124895e-02
  6.583333333333334e-01,  4.343190595792545e-02,  2.535285006595789e-02,  2.437276072517793e-01,  2.270608506128206e-01, -1.174842437286139e-01,  5.236728021160714e-02
  6.666666666666667e-01,  4.335738803956064e-02,  2.545252183503477e-02,  2.438579561048072e-01,  2.271633952211438e-01, -1.176473366854007e-01,  5.257540897094890e-02
  6.750000000000000e-01,  4.328563873546739e-02,  2.554792723424515e-02,  2.439649470404465e-01,  2.272372911418030e-01, -1.177944696831411e-01,  5.281275152393948e-02
  6.833333333333333e-01,  4.321776857081491e-02,  2.563864729443877e-02,  2.440524823460264e-01,  2.272822115648788e-01, -1.179246400819622e-01,  5.307175692366418e-02
  6.916666666666667e-01,  4.315517372046589e-02,  2.572429883712268e-02,  2.441246435909660e-01,  2.272986267997166e-01, -1.180371444808155e-01,  5.334425381272455e-02
  7.000000000000001e-01,  4.309980493708456e-02,  2.580418216095737e-02,  2.441851254049570e-01,  2.272880214414038e-01, -1.181312767646698e-01,  5.362116664386071e-02
  7.083333333333335e-01,  4.305231774164524e-02,  2.587827719018265e-02,  2.442388214127839e-01,  2.272511466493183e-01, -1.182078244883351e-01,  5.389725980022419e-02
  7.166666666666668e-01,  4.301500680564505e-02,  2.594492002944371e-02,  2.442885399713377e-01,  2.271913089427551e-01, -1.182662720348592e-01,  5.416266126855465e-02
  7.250000000000001e-01,  4.298810078446424e-02,  2.600305986528761e-02,  2.443379917336920e-01,  2.271106404090648e-01, -1.183075966842116e-01,  5.441228083074966e-02
  7.333333333333334e-01,  4.297122525122787e-02,  2.605135377402434e-02,  2.443899041277187e-01,  2.270115368748132e-01, -1.183328512134363e-01,  5.464160719437740e-02
  7.416666666666667e-01,  4.296329798287564e-02,  2.608869395355451e-02,  2.444461335754113e-01,  2.268966050033407e-01, -1.183436499857650e-01,  5.484751871672434e-02
  7.500000000000000e-01,  4.296295792175100e-02,  2.611450626469147e-02,  2.445076442608542e-01,  2.267692679122379e-01, -1.183423649714290e-01,  5.502804026190943e-02
  7.583333333333333e-01,  4.296883427008224e-02,  2.612893292733176e-02,  2.445746558532765e-01,  2.266338687047285e-01, -1.183319615859412e-01,  5.518218708324280e-02
  7.666666666666666e-01,  4.297958550491924e-02,  2.613278437435418e-02,  2.446467802430818e-01,  2.264951313157743e-01, -1.183156005972243e-01,  5.531003594837922e-02
  7.750000000000001e-01,  4.299398496676800e-02,  2.612733857304606e-02,  2.447231739749847e-01,  2.263576019539890e-01, -1.182964065615380e-01,  5.541274450209885e-02
  7.833333333333334e-01,  4.301115741652631e-02,  2.611422170774680e-02,  2.448029291254247e-01,  2.262254275903972e-01, -1.182774098818915e-01,  5.549205431787767e-02
  7.916666666666667e-01,  4.303078284954565e-02,  2.609541945948868e-02,  2.448855262588754e-01,  2.261023679314070e-01, -1.182614600178697e-01,  5.554948273107168e-02
  8.000000000000000e-01,  4.305310437019571e-02,  2.607324284385060e-02,  2.449707990298749e-01,  2.259917931705075e-01, -1.182511154904839e-01,  5.558605029759579e-02
  8.083333333333333e-01,  4.307868704768938e-02,  2.605011542299018e-02,  2.450584464495268e-01,  2.258963746934172e-01, -1.182484836103101e-01,  5.560271879071661e-02
  8.166666666666667e-01,  4.310805166804699e-02,  2.602825159083033e-02,  2.451478094238650e-01,  2.258175428570136e-01, -1.182549480044013e-01,  5.560076016609655e-02
  8.250000000000000e-01,  4.314156032403567e-02,  2.600944452986376e-02,  2.452379851714827e-01,  2.257553561339241e-01, -1.182710529699090e-01,  5.558172778907002e-02
  8.333333333333333e-01,  4.317969759101900e-02,  2.599506203174196e-02,  2.453277310857832e-01,  2.257090892349090e-01, -1.182967832152082e-01,  5.554749002916908e-02
  8.416666666666668e-01,  4.322329159613855e-02,  2.598607344125159e-02,  2.454152820036514e-01,  2.256778445915070e-01, -1.183319126611565e-01,  5.550046546110077e-02
  8.500000000000001e-01,  4.327334580765967e-02,  2.598298825490941e-02,  2.454985677605694e-01,  2.256605828430810e-01, -1.183760500964269e-01,  5.544370517177149e-02
  8.583333333333334e-01,  4.333078237884096e-02,  2.598582443568276e-02,  2.455756915474406e-01,  2.256559373880603e-01, -1.184285261830326e-01,  5.538071145062944e-02
  8.666666666666667e-01,  4.339640165542129e-02,  2.599415299290553e-02,  2.456451553266503e-01,  2.256622547237574e-01, -1.184883556270265e-01,  5.531521400161475e-02
  8.750000000000000e-01,  4.347097033868530e-02,  2.600713062829785e-02,  2.457056841103055e-01,  2.256777833836272e-01, -1.185542514261209e-01,  5.525101448535302e-02
