---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_ngait_og_ss11\PS_ngait_og_ss11-output-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarEversion
6.061666666666667e+000 4.901511171704274e-001 1.969092027349422e-001 2.306986772802607e-001 3.756677643115648e-002 -5.968968338781419e-002 2.704366942505855e-001
6.069738562091503e+000 4.949568445093373e-001 1.951445149599822e-001 2.296949367387810e-001 4.185525574281906e-002 -5.243664090053435e-002 2.633682028860528e-001
6.077810457516340e+000 5.002275315758411e-001 1.926501243149119e-001 2.269600357727835e-001 5.239751028392029e-002 -4.573095442603292e-002 2.611219436328126e-001
6.085882352941177e+000 5.053975044543430e-001 1.895717265735493e-001 2.226579597392593e-001 6.765785382570551e-002 -4.026867477602288e-002 2.630300408471707e-001
6.093954248366013e+000 5.097739052332330e-001 1.860375493442785e-001 2.168376800656856e-001 8.567828980149689e-002 -3.658394034106218e-002 2.677873144617433e-001
6.102026143790850e+000 5.127502591900461e-001 1.821618835102474e-001 2.094624816632331e-001 1.043942105192907e-001 -3.516380725170851e-002 2.738384098680552e-001
6.110098039215687e+000 5.139410879578282e-001 1.780667379646472e-001 2.005630446192537e-001 1.219581745253646e-001 -3.657510824523648e-002 2.797404508062689e-001
6.118169934640523e+000 5.132796020945931e-001 1.738850242880954e-001 1.902846568703015e-001 1.370424032940976e-001 -4.139933135362865e-002 2.846360983582073e-001
6.126241830065360e+000 5.110354271182301e-001 1.697227937812091e-001 1.788314069386148e-001 1.490347411860526e-001 -4.994300755108497e-002 2.887163156425217e-001
6.134313725490197e+000 5.077450871826983e-001 1.656165814256780e-001 1.664706138264946e-001 1.581011186632897e-001 -6.184431841108269e-002 2.932449626284802e-001
6.142385620915033e+000 5.040916249189933e-001 1.615162122432783e-001 1.536274871906939e-001 1.651340005237694e-001 -7.578141597219454e-002 2.998922155973611e-001
6.150457516339870e+000 5.007691329560720e-001 1.572736046134304e-001 1.409325737976239e-001 1.715606192974636e-001 -8.951652005941915e-002 3.097277173717078e-001
6.158529411764707e+000 4.983439891164654e-001 1.526280882518338e-001 1.291342664499397e-001 1.789743962483009e-001 -1.003949718369732e-001 3.225357734416832e-001
6.166601307189543e+000 4.971251856404984e-001 1.472334063397187e-001 1.189298637602709e-001 1.886717881053202e-001 -1.061449449415615e-001 3.368686371838119e-001
6.174673202614380e+000 4.970643813664120e-001 1.407662930666203e-001 1.108139281424015e-001 2.012699645909843e-001 -1.055984521088387e-001 3.507882053620557e-001
6.182745098039217e+000 4.977038228778301e-001 1.330743297788817e-001 1.049958260092826e-001 2.165312319637960e-001 -9.898250469092976e-002 3.627939137505813e-001
6.190816993464053e+000 4.982110155440434e-001 1.242602685684184e-001 1.013966852655224e-001 2.334325705383508e-001 -8.765947854501456e-002 3.723024260552156e-001
6.198888888888890e+000 4.975589745926929e-001 1.146461181179821e-001 9.972579568562991e-002 2.504651659069453e-001 -7.348616328851138e-002 3.794756460139181e-001
6.206960784313726e+000 4.948361386831928e-001 1.046578960109215e-001 9.960750525405261e-002 2.660733251961127e-001 -5.815748144846781e-002 3.847552805202006e-001
6.215032679738563e+000 4.895410431167905e-001 9.471119801254013e-002 1.006907368588298e-001 2.790649537652036e-001 -4.283336358376060e-002 3.885343047860880e-001
6.223104575163400e+000 4.817045950155061e-001 8.513354590383604e-002 1.026756502913308e-001 2.888438905126534e-001 -2.810189544156815e-002 3.910798166820526e-001
