index,x,y,z
27565,-91.99360656738281,31.63582992553711,175.8699951171875
27567,-92.49959564208984,31.703140258789062,175.5558319091797
27568,-91.48922729492188,31.78875732421875,175.89715576171875
27570,-90.87946319580078,31.938650131225586,175.94732666015625
27572,-90.2331314086914,31.935277938842773,176.24990844726562
27578,-93.03302764892578,31.76264762878418,175.2356719970703
27579,-93.34148406982422,31.951292037963867,174.83067321777344
27580,-93.69661712646484,31.622615814208984,175.17178344726562
27582,-94.35065460205078,31.780656814575195,174.8634796142578
27583,-94.68077850341797,31.96433448791504,174.4474639892578
27584,-94.95276641845703,31.643779754638672,174.87461853027344
27592,-95.64811706542969,31.74672508239746,174.66404724121094
27711,-63.04175567626953,11.162353515625,178.95643615722656
27714,-63.058475494384766,12.057090759277344,179.1700439453125
27715,-62.82412338256836,12.514131546020508,179.129150390625
27716,-62.948673248291016,12.98348331451416,179.28103637695312
27717,-62.77089309692383,13.313728332519531,179.24754333496094
27718,-62.975555419921875,13.667255401611328,179.41836547851562
27719,-62.912845611572266,14.064351081848145,179.43687438964844
27720,-63.58955001831055,14.03036117553711,179.82102966308594
27722,-63.28425979614258,14.575601577758789,179.72607421875
27723,-64.04087829589844,14.804986953735352,180.13821411132812
27724,-63.758079528808594,15.240762710571289,180.10226440429688
27725,-64.38713836669922,15.43703556060791,180.36009216308594
27727,-64.08275604248047,15.744661331176758,180.29969787597656
27728,-64.61051177978516,15.98520565032959,180.56222534179688
27730,-64.18560028076172,16.282886505126953,180.47384643554688
27731,-64.79634857177734,16.509235382080078,180.74327087402344
27733,-64.39332580566406,17.104215621948242,180.66363525390625
27831,-91.92919921875,30.972043991088867,176.63841247558594
27832,-92.37904357910156,31.243993759155273,176.1187286376953
27833,-92.47510528564453,30.781946182250977,176.56802368164062
27834,-91.70511627197266,31.400407791137695,176.26412963867188
27835,-91.33219909667969,31.13982582092285,176.753173828125
27836,-91.11026000976562,31.5467529296875,176.37464904785156
27837,-90.67269134521484,31.283889770507812,177.00559997558594
27838,-90.5991439819336,31.702600479125977,176.51544189453125
27839,-90.05402374267578,31.622419357299805,176.9849090576172
27846,-93.06266784667969,30.816287994384766,176.2416229248047
27847,-93.04566192626953,31.343669891357422,175.6885223388672
27848,-93.75328063964844,31.02967643737793,175.80702209472656
27849,-89.7392807006836,31.85485076904297,176.69451904296875
27850,-89.27689361572266,31.938312530517578,176.8226318359375
27852,-94.4726791381836,30.804412841796875,175.81190490722656
27853,-94.36302185058594,31.330245971679688,175.331298828125
27854,-94.97463989257812,31.135231018066406,175.43797302246094
27856,-95.39318084716797,31.36479377746582,175.112548828125
27857,-95.95492553710938,31.22480010986328,175.19676208496094
27858,-95.42916870117188,31.0865478515625,175.4172821044922
27861,-97.88715362548828,31.299301147460938,174.9835968017578
27862,-97.85094451904297,31.793657302856445,174.3015594482422
27863,-98.50326538085938,31.523714065551758,174.60130310058594
27864,-97.10987854003906,31.335803985595703,174.97607421875
27865,-96.5090560913086,31.346582412719727,175.01251220703125
27976,-65.11714172363281,7.410848140716553,178.96849060058594
27984,-63.57535171508789,11.92321491241455,179.40350341796875
27985,-63.39253616333008,12.745084762573242,179.4730987548828
27987,-63.247676849365234,13.35717487335205,179.5106964111328
27988,-63.83163070678711,13.440506935119629,179.8317108154297
27989,-64.19435119628906,14.00938892364502,180.04293823242188
27990,-64.38749694824219,14.521462440490723,180.2045440673828
27991,-64.68055725097656,15.154540061950684,180.4232635498047
27994,-64.9337387084961,15.746528625488281,180.62640380859375
27996,-65.12801361083984,16.363492965698242,180.80531311035156
27998,-65.14353942871094,17.051652908325195,180.93734741210938
27999,-64.91671752929688,17.538061141967773,180.9492645263672
28001,-65.27306365966797,17.68212127685547,181.05557250976562
28002,-65.52043151855469,18.10511016845703,181.16400146484375
28009,-65.336669921875,18.937358856201172,181.06454467773438
28010,-65.53059387207031,19.54041290283203,181.14332580566406
28099,-92.44210815429688,29.53852081298828,177.7025604248047
28100,-92.492919921875,30.007015228271484,177.27615356445312
28101,-93.0754165649414,29.78536605834961,177.22055053710938
28102,-91.96776580810547,29.89674186706543,177.62757873535156
28103,-92.12104034423828,30.42971420288086,177.0684814453125
28104,-91.58585357666016,30.23362922668457,177.52606201171875
28110,-92.86527252197266,30.3526611328125,176.8101043701172
28111,-91.51530456542969,30.68503761291504,177.1484375
28112,-90.99153900146484,30.361492156982422,177.7841339111328
