Time(sec),PM,AM,AL,PL,GON,GRFz
3.316667,16.378806,39.324321,17.816203,31.754842,5.349101,0.001434,
3.325000,16.129558,39.479836,17.814664,31.809610,5.350212,0.000595,
3.333333,15.973303,39.572518,18.070136,31.948647,5.333760,0.000058,
3.341667,16.077585,39.250168,18.002234,31.711204,5.320671,-0.000158,
3.350000,16.426632,38.949180,17.668750,31.435646,5.320519,0.000155,
3.358333,16.823862,39.027794,17.418794,31.481342,5.335400,0.000837,
3.366667,16.914216,39.134743,17.599260,31.650153,5.361296,0.001002,
3.375000,16.845944,38.911361,17.870334,31.579331,5.372918,0.000972,
3.383333,17.028042,38.260952,17.586853,31.034005,5.342837,0.001659,
3.391667,17.162094,38.136650,17.234412,30.829633,5.312981,0.001969,
3.400000,17.002869,38.681541,17.189267,31.166993,5.310289,0.001317,
3.408333,16.711644,38.472836,17.158098,30.942520,5.309474,0.000766,
3.416667,16.452353,37.623030,17.090953,30.248300,5.311343,0.000927,
3.425000,16.367211,37.318509,17.147860,30.026006,5.333503,0.001714,
3.433333,16.611769,36.799223,17.244420,29.742813,5.342572,0.001908,
3.441667,17.057595,35.717009,17.183741,29.044204,5.320832,0.001147,
3.450000,17.182490,35.346605,16.795658,28.642495,5.303847,0.000885,
3.458333,17.036769,35.533106,16.436939,28.591068,5.316499,0.001000,
3.466667,16.919718,35.492387,16.512645,28.571995,5.357967,0.000912,
3.475000,16.944597,34.988324,16.750915,28.317453,5.373786,0.001309,
3.483333,17.132448,34.343716,16.870274,27.942730,5.355267,0.001957,
3.491667,17.421536,34.215328,16.744050,27.858694,5.343445,0.001678,
3.500000,17.460351,34.340032,16.599114,27.897702,5.340820,0.000983,
3.508333,17.080786,34.228986,16.729428,27.794824,5.336374,0.000920,
3.516667,17.273311,34.411995,16.979700,28.075837,5.349911,0.001031,
3.525000,17.755125,34.824601,17.153455,28.547681,5.367163,0.001003,
3.533333,17.139700,34.772536,17.166456,28.376391,5.345386,0.000992,
3.541667,16.616522,34.753397,17.189146,28.256631,5.316244,0.001002,
3.550000,17.097856,35.081551,17.343430,28.665627,5.317122,0.001001,
3.558333,17.366265,35.022249,17.501570,28.746816,5.345651,0.000997,
3.566667,17.154611,34.819591,17.586107,28.588211,5.365733,0.000999,
3.575000,16.887453,35.198474,17.580426,28.804938,5.338264,0.001008,
3.583333,16.624177,35.667693,17.529621,29.063707,5.311333,0.000993,
3.591667,16.327078,35.682137,17.560092,29.010523,5.322597,0.000976,
3.600000,16.052075,35.535202,17.880800,28.975372,5.321902,0.001082,
3.608333,16.000982,35.399873,18.070069,28.951384,5.313165,0.000967,
3.616667,16.192235,35.317454,17.715632,28.788667,5.325544,0.000315,
3.625000,15.802593,35.423612,17.811004,28.818887,5.324393,-0.000060,
3.633333,14.941058,35.739815,18.429433,29.113715,5.311043,0.000010,
3.641667,14.864963,36.119467,18.359659,29.338914,5.337544,-0.000192,
3.650000,15.071796,36.444076,18.107287,29.510744,5.376630,0.000149,
3.658333,14.824154,36.646227,18.432720,29.736695,5.383696,0.001503,
3.666667,14.642195,36.748085,18.913848,29.970361,5.354892,0.001908,
3.675000,14.710377,36.863506,19.028810,30.116078,5.319177,0.001049,
3.683333,14.564174,37.154056,18.580314,30.105910,5.325831,0.000952,
3.691667,14.276669,37.458463,18.425669,30.198233,5.334976,0.000953,
3.700000,14.050239,37.530614,19.105060,30.485373,5.312308,0.000235,
3.708333,13.916908,37.188935,19.360351,30.314957,5.319981,0.000123,
3.716667,13.786538,36.748723,19.009300,29.818117,5.359688,0.000929,
3.725000,13.461813,37.046439,19.660919,30.230416,5.336742,0.001098,
3.733333,12.974437,37.495440,20.577890,30.826028,5.305357,0.001007,
3.741667,12.563545,37.444914,20.901481,30.830524,5.314630,0.001093,
3.750000,12.633282,37.013881,21.025615,30.591313,5.316096,0.000704,
3.758333,12.967523,36.673259,21.075931,30.447552,5.312977,-0.000053,
3.766667,12.988368,36.847824,20.922495,30.511805,5.340849,-0.000329,
3.775000,12.861072,36.991497,20.759334,30.515140,5.358669,0.000473,
3.783333,12.857990,36.847277,20.759997,30.409131,5.344996,0.001782,
3.791667,13.163818,36.760231,20.974773,30.500273,5.324263,0.001744,
3.800000,13.500633,36.711601,21.300895,30.675342,5.324612,0.000913,
3.808333,13.471935,36.500193,21.528567,30.618698,5.352851,0.000872,
3.816667,13.258181,36.240953,21.463678,30.359151,5.362014,0.001021,
3.825000,13.065719,36.034201,21.221570,30.060181,5.339913,0.000990,
3.833333,12.969900,35.886268,21.274952,29.954345,5.329450,0.001118,
3.841667,12.757290,35.791046,21.490664,29.933235,5.324777,0.000933,
3.850000,12.290740,35.707043,21.537248,29.791718,5.314849,0.000171,
3.858333,11.984775,35.514261,21.341009,29.503754,5.337178,0.000154,
3.866667,12.077700,35.327561,21.050456,29.268243,5.365866,0.000872,
3.875000,12.530567,35.405694,20.948686,29.383028,5.330821,0.001096,
3.883333,12.947018,35.424999,21.164139,29.579861,5.308877,0.000971,
3.891667,13.094823,35.152918,21.430008,29.527476,5.352054,0.000980,
3.900000,13.275267,34.958184,21.019709,29.256198,5.357144,0.001008,
3.908333,13.536421,34.809942,20.233586,28.879368,5.313521,0.001001,
3.916667,13.668722,34.342761,20.117988,28.522440,5.300256,0.001001,
3.925000,13.644830,33.806286,20.009102,28.084343,5.322309,0.000996,
3.933333,13.508278,33.413169,19.436372,27.533050,5.346346,0.000991,
3.941667,13.299392,33.018583,19.079319,27.055438,5.334374,0.001027,
3.950000,13.136606,32.789287,19.376924,26.980021,5.317264,0.000995,
3.958333,13.151411,32.842268,20.167458,27.351866,5.347522,0.000857,
3.966667,13.307336,32.227369,20.057398,26.895559,5.367076,0.001236,
3.975000,13.486949,30.921592,19.116565,25.598465,5.347408,0.001951,
3.983333,13.547569,30.362087,19.483013,25.360151,5.333945,0.001700,
3.991667,13.620000,30.420000,20.180000,25.710000,5.342000,0.001000,
4.000000,13.852634,30.317832,19.535314,25.421759,5.362095,0.000901,
4.008333,13.976266,29.760877,18.935910,24.798689,5.353861,0.001140,
4.016667,13.800446,29.222337,19.008479,24.401470,5.326771,0.001114,
4.025000,13.324647,29.549651,19.114805,24.577948,5.330824,0.000390,
4.033333,12.813646,30.042967,19.073240,24.805141,5.338840,0.000046,
4.041667,12.573978,29.892618,19.004514,24.614470,5.319702,0.000822,
4.050000,12.684619,29.707447,19.116782,24.548063,5.314703,0.001218,
4.058333,12.941388,29.596334,19.369418,24.628150,5.319097,0.001013,
4.066667,13.058322,29.379500,19.592110,24.596744,5.310982,0.000786,
4.075000,12.959057,29.162958,19.626696,24.438356,5.319112,0.001111,
4.083333,12.715471,29.063658,19.407257,24.219165,5.356895,0.001910,
4.091667,12.601465,29.003118,19.085530,24.015512,5.370737,0.001722,
4.100000,12.729838,28.687491,18.811593,23.702375,5.364926,0.000980,
4.108333,13.006897,27.965133,18.692148,23.189302,5.367788,0.000869,
4.116667,12.995527,27.556646,18.749624,22.913116,5.356147,0.001025,
4.125000,12.627516,27.743156,18.875232,23.019020,5.321836,0.001014,
4.133333,12.610624,27.664338,18.773818,22.916320,5.303927,0.000953,
4.141667,12.920000,27.230000,18.410000,22.520000,5.305000,0.001000,
4.150000,13.180288,26.742200,17.961324,22.040330,5.313141,0.001135,
4.158333,13.129624,26.414516,17.924527,21.777980,5.334415,0.000698,
4.166667,12.980159,26.156083,18.275734,21.706198,5.358542,0.000019,
4.175000,13.277129,25.691470,18.387742,21.490817,5.359282,0.000406,
4.183333,13.494552,25.573137,18.194185,21.376293,5.358554,0.001088,
4.191667,13.203709,26.040114,17.921841,21.529210,5.369175,0.001117,
4.200000,13.040395,26.013619,17.946631,21.484920,5.347320,0.000876,
4.208333,13.155281,25.433127,18.100200,21.163091,5.307804,0.000927,
4.216667,13.174208,25.226100,17.830333,20.904545,5.313017,0.001624,
4.225000,13.195629,25.355064,17.573586,20.887504,5.325270,0.001970,
4.233333,13.412011,25.395150,17.725649,21.021001,5.307452,0.001271,
4.241667,13.738594,25.009208,17.625857,20.773879,5.320206,0.000859,
4.250000,13.811195,24.562129,17.279437,20.328142,5.346182,0.001007,
4.258333,13.357252,24.648393,17.183904,20.252535,5.327146,0.001081,
4.266667,13.074847,24.793174,17.313625,20.349636,5.314358,0.000951,
4.275000,13.448362,24.578880,17.461825,20.341236,5.338118,0.000881,
4.283333,14.106298,24.180220,17.341453,20.151014,5.342988,0.001531,
4.291667,14.619170,23.816077,17.121720,19.910048,5.323997,0.001997,
4.300000,14.776093,23.570719,17.023913,19.723776,5.308987,0.001389,
4.308333,14.750745,23.293967,16.801400,19.423200,5.315030,0.000849,
4.316667,14.788205,22.893331,16.495740,19.015295,5.338395,0.000914,
4.325000,15.114302,22.379432,16.501425,18.721914,5.354238,0.001121,
4.333333,15.323944,21.804225,16.579015,18.392272,5.358418,0.000891,
4.341667,15.078974,21.412238,16.293600,17.944560,5.359488,0.000170,
4.350000,15.141517,21.795874,15.783368,18.020954,5.360586,0.000150,
4.358333,15.588519,22.493496,15.317861,18.419725,5.363354,0.000909,
4.366667,15.585971,22.001320,15.179727,18.006351,5.367084,0.001114,
4.375000,15.381616,21.268565,15.295206,17.482543,5.362007,0.000974,
4.383333,15.381613,21.296953,15.429848,17.555897,5.349803,0.000987,
4.391667,15.446722,21.381534,15.333156,17.593043,5.357338,0.000987,
4.400000,15.360544,21.392793,15.092352,17.487187,5.367104,0.000991,
4.408333,14.992438,21.833768,15.045695,17.700793,5.332965,0.001138,
4.416667,14.754329,22.412412,15.000673,18.042186,5.313250,0.000853,
4.425000,14.862772,22.739405,14.798424,18.218931,5.340188,0.000102,
4.433333,14.849941,22.769965,14.686921,18.190168,5.335707,0.000225,
4.441667,14.733314,22.612934,14.871029,18.126494,5.315549,0.000940,
4.450000,14.811654,22.447396,15.354074,18.232269,5.341888,0.001099,
4.458333,14.957324,22.445928,15.324758,18.254412,5.359015,0.000974,
4.466667,14.960964,22.535392,14.622725,18.020738,5.337943,0.000991,
4.475000,14.785248,22.336267,14.417138,17.748196,5.348077,0.001008,
4.483333,14.867778,22.156856,14.415212,17.639583,5.357911,0.000998,
4.491667,15.388434,22.360814,14.050549,17.758096,5.324826,0.000997,
4.500000,15.457816,22.633822,13.914968,17.914129,5.304020,0.001002,
4.508333,15.031904,22.792371,14.163640,18.029967,5.315049,0.001002,
4.516667,15.208422,22.917247,14.246421,18.193307,5.318052,0.000992,
4.525000,15.735334,22.855973,14.227743,18.264108,5.311087,0.001006,
4.533333,15.940196,22.501030,14.359030,18.112065,5.308595,0.001042,
4.541667,16.093502,22.201847,14.434191,17.960810,5.307356,0.000940,
4.550000,16.392975,22.013841,14.290951,17.829851,5.305131,0.000966,
4.558333,16.693490,21.623306,13.988675,17.492696,5.305525,0.001682,
4.566667,16.701394,21.469251,13.876327,17.338081,5.314571,0.001947,
4.575000,16.445598,21.564759,14.097631,17.438206,5.327507,0.001273,
4.583333,16.452579,21.009405,14.365805,17.150857,5.324435,0.000873,
4.591667,16.793226,20.082578,14.277144,16.525371,5.310189,0.000985,
4.600000,17.143837,19.892959,13.584108,16.178812,5.306598,0.001018,
4.608333,17.339561,20.178684,13.328211,16.318770,5.306274,0.001007,
4.616667,17.287719,20.446390,13.804123,16.695189,5.307693,0.001021,
4.625000,16.963869,20.634072,13.582230,16.667775,5.331443,0.000880,
4.633333,16.774329,20.687724,12.953771,16.404106,5.361857,0.001043,
4.641667,17.160241,20.549998,12.771466,16.310745,5.370374,0.001794,
4.650000,17.980872,20.206855,12.688578,16.212047,5.349657,0.001897,
4.658333,18.657114,19.746103,12.506307,15.959901,5.316591,0.001189,
4.666667,18.448672,19.346237,12.376985,15.571001,5.303329,0.000751,
4.675000,18.038249,19.201635,12.296475,15.339326,5.305032,0.001025,
4.683333,18.473048,19.397130,12.211526,15.544624,5.305861,0.001791,
4.691667,19.257270,19.614110,12.222404,15.881892,5.324283,0.001895,
4.700000,19.577893,19.687672,12.204487,15.998245,5.354282,0.001079,
4.708333,18.988226,19.686664,11.890998,15.738607,5.364352,0.000214,
4.716667,18.761128,19.566553,11.679986,15.514090,5.365476,0.000037,
4.725000,19.768078,19.293029,11.781627,15.578153,5.369082,0.000724,
4.733333,20.331166,18.973924,11.352978,15.297451,5.351244,0.001121,
4.741667,20.160000,18.770000,10.710000,14.850000,5.328000,0.001000,
4.750000,20.262692,18.807685,10.846872,14.950097,5.335453,0.000971,
4.758333,20.569418,18.978718,10.887537,15.154625,5.332698,0.001007,
4.766667,20.796797,19.070967,10.467922,15.104088,5.309213,0.001003,
4.775000,20.814735,18.860028,10.622920,15.024496,5.323950,0.000995,
4.783333,20.861620,18.622554,10.885486,14.972306,5.349779,0.001000,
4.791667,21.203707,18.704166,10.322541,14.872093,5.332847,0.001008,
4.800000,21.429188,18.623303,9.607263,14.564873,5.308955,0.000991,
4.808333,21.381871,18.276624,9.487590,14.252681,5.307739,0.000987,
4.816667,21.591172,18.472897,9.945735,14.631463,5.306663,0.001107,
4.825000,21.909140,18.923204,10.344047,15.193234,5.306139,0.000983,
4.833333,21.976538,19.107842,10.110835,15.243293,5.312928,0.000343,
4.841667,21.767906,19.396959,9.686479,15.227163,5.315827,-0.000066,
4.850000,21.525482,19.813360,9.668760,15.466075,5.320504,-0.000002,
4.858333,21.620422,19.789238,10.357522,15.759293,5.349960,-0.000083,
4.866667,21.673803,19.710908,11.024517,15.992409,5.363855,0.000050,
4.875000,21.302391,20.003382,11.067317,16.132746,5.335440,0.000698,
4.883333,20.794341,20.305237,11.122553,16.258276,5.332243,0.001085,
4.891667,20.450000,20.390000,11.370000,16.350000,5.367000,0.001000,
4.900000,20.372270,20.368813,11.349646,16.312632,5.381168,0.000973,
4.908333,20.360112,20.442158,11.160610,16.284245,5.361305,0.001004,
4.916667,20.302219,20.651578,11.022741,16.361615,5.321482,0.001004,
4.925000,20.433916,20.659083,11.085820,16.420138,5.307004,0.000998,
4.933333,20.628154,20.393124,11.439235,16.420245,5.317709,0.001000,
4.941667,20.513813,20.094381,12.014321,16.423800,5.315625,0.001000,
4.950000,20.356876,20.046299,12.260140,16.456588,5.304580,0.001000,
4.958333,20.216466,20.226526,11.999249,16.440239,5.304603,0.001000,
4.966667,19.707847,20.246092,11.708134,16.216509,5.335820,0.000998,
4.975000,19.061509,20.120524,11.792149,16.018369,5.370605,0.001002,
4.983333,18.776697,20.025201,12.292215,16.097576,5.374659,0.001012,
4.991667,19.109864,19.936384,12.510690,16.201289,5.363686,0.000983,
5.000000,19.725864,19.915476,12.247461,16.214142,5.349227,0.000969,
5.008333,19.610327,20.158589,12.124970,16.310324,5.327368,0.001114,
5.016667,19.045160,20.504034,12.146431,16.440886,5.312435,0.000932,
5.025000,18.797585,20.662786,12.092657,16.480454,5.317445,0.000162,
5.033333,18.649211,20.634169,12.279894,16.507998,5.318993,0.000185,
5.041667,18.437968,20.490608,12.489249,16.445156,5.309377,0.000934,
5.050000,18.208314,20.326652,12.160017,16.135331,5.301249,0.001119,
5.058333,18.055147,20.252444,11.865264,15.921540,5.315028,0.000954,
5.066667,17.967914,20.301294,12.038762,16.008852,5.351508,0.000937,
5.075000,17.761600,20.373779,12.243225,16.100563,5.376540,0.001105,
5.083333,17.678056,20.358162,12.311144,16.099802,5.370900,0.001073,
5.091667,18.203665,20.204805,12.351978,16.125553,5.338052,0.000347,
5.100000,18.691869,20.266106,12.132977,16.189635,5.317317,0.000061,
5.108333,18.518244,20.658687,11.642009,16.228839,5.331174,0.000808,
5.116667,17.969977,20.845782,11.443689,16.151521,5.349110,0.001180,
5.125000,17.867836,20.786343,11.447903,16.080335,5.359279,0.000989,
5.133333,18.673347,20.722690,11.373821,16.184899,5.362018,0.000850,
5.141667,18.778630,20.766535,11.666978,16.368260,5.353016,0.001331,
5.150000,18.184074,20.754413,12.304720,16.497646,5.338128,0.001993,
5.158333,18.846861,20.330777,12.652114,16.485578,5.332799,0.001546,
5.166667,20.160000,19.890000,12.680000,16.470000,5.327000,0.001000,
5.175000,20.452259,19.998166,12.658928,16.602777,5.309572,0.001823,
5.183333,20.394080,20.045015,12.484119,16.553445,5.326966,0.001581,
5.191667,20.556386,19.988485,12.196867,16.433157,5.364092,0.000094,
5.200000,20.734761,20.573546,12.035770,16.824593,5.341532,0.000275,
5.208333,20.906429,21.271839,11.755065,17.246031,5.319973,0.001099,
5.216667,21.073702,21.487036,11.297230,17.249924,5.349762,0.001078,
5.225000,21.126633,21.508970,11.350724,17.299986,5.350212,0.000946,
5.233333,21.108711,21.459692,11.771527,17.433805,5.321656,0.000992,
5.241667,21.138650,21.256752,11.858578,17.331506,5.321973,0.001010,
5.250000,21.059119,20.794315,11.525474,16.843125,5.335083,0.001000,
5.258333,20.743788,20.182044,11.056898,16.135157,5.330356,0.001007,
5.266667,20.415163,20.024692,10.983655,15.917899,5.316046,0.000974,
5.275000,20.244173,20.067165,11.071515,15.948069,5.305332,0.000990,
5.283333,20.269040,19.572837,10.658436,15.424790,5.307493,0.001129,
5.291667,20.271488,19.030260,10.063341,14.786153,5.316306,0.000769,
5.300000,20.178986,18.820777,9.757671,14.487796,5.328290,0.000053,
5.308333,20.225973,18.621747,9.907024,14.415650,5.349107,0.000358,
5.316667,20.427963,18.333004,9.907433,14.251977,5.363438,0.001037,
5.325000,20.668037,18.030465,9.275818,13.827314,5.356545,0.000944,
5.333333,20.881654,17.797384,9.153914,13.657716,5.353004,0.001204,
5.341667,20.951451,17.624126,9.727022,13.786143,5.365272,0.001969,
5.350000,20.768713,17.402799,9.535546,13.508522,5.375647,0.001626,
5.358333,20.842450,17.314603,8.966637,13.226660,5.366104,0.000977,
5.366667,21.506434,17.504793,8.845782,13.459339,5.331542,0.001056,
5.375000,21.860782,17.673549,9.097995,13.763804,5.304345,0.000747,
5.383333,21.655614,17.760098,9.325036,13.876206,5.304700,0.000026,
5.391667,21.699690,18.054580,9.053245,13.983981,5.324558,0.000448,
5.400000,22.183482,18.386686,8.544914,14.117072,5.336799,0.001099,
5.408333,22.809129,18.565548,8.132918,14.212806,5.325527,0.001038,
5.416667,22.954158,18.707201,7.750798,14.189473,5.307701,0.001065,
5.425000,22.749493,18.849909,7.463052,14.130009,5.306601,0.001035,
5.433333,22.753507,18.962831,7.429397,14.200788,5.336260,0.000306,
5.441667,22.619402,19.090622,7.615376,14.337787,5.353053,0.000075,
5.450000,22.137879,19.138711,7.838482,14.351177,5.338759,0.000779,
5.458333,21.711367,18.810074,7.809388,14.005491,5.335954,0.000998,
5.466667,21.569262,18.416828,7.532174,13.577593,5.344258,0.001062,
5.475000,21.603050,18.475491,7.265485,13.516241,5.339534,0.001905,
5.483333,21.292738,18.592741,7.260365,13.528537,5.344177,0.001691,
5.491667,20.768310,18.561996,7.556124,13.513085,5.362600,0.000204,
5.500000,21.058329,18.687309,7.866410,13.798837,5.362009,0.000194,
5.508333,21.092587,18.904322,7.966030,14.005966,5.349192,0.001042,
5.516667,19.713802,19.008579,7.796602,13.703345,5.346192,0.001074,
5.525000,18.855829,19.022496,7.668114,13.465883,5.354471,0.001025,
5.533333,18.878292,19.189765,7.688367,13.596676,5.365409,0.001076,
5.541667,18.307048,19.830959,7.715262,13.943976,5.367177,0.000542,
5.550000,18.056413,20.392993,7.722603,14.296909,5.372084,-0.000150,
5.558333,19.093617,20.478366,7.752547,14.598596,5.389161,-0.000249,
5.566667,20.054811,20.808579,7.847334,15.091787,5.398495,0.000398,
5.575000,20.460853,21.177401,8.132598,15.572934,5.410566,0.001004,
5.583333,20.883067,20.665921,8.699895,15.535749,5.456345,0.000393,
5.591667,21.222643,20.277332,9.035137,15.469730,5.493788,0.000030,
5.600000,21.224520,20.568092,9.075197,15.695992,5.503067,0.000716,
5.608333,20.750730,20.574340,9.650046,15.833116,5.528621,0.001125,
5.616667,19.830000,19.900000,10.900000,15.660000,5.577000,0.001000,
5.625000,18.381253,18.962265,12.459715,15.308281,5.620567,0.000971,
5.633333,15.370895,19.061493,14.530246,15.571066,5.641422,0.001007,
5.641667,11.079573,19.653136,17.579631,16.314417,5.643524,0.001002,
5.650000,8.018926,17.393883,22.062042,15.876028,5.660024,0.001000,
5.658333,6.621462,13.054756,26.701538,14.376628,5.712915,0.001000,
5.666667,6.107050,9.253713,29.706922,12.782168,5.803305,0.000992,
5.675000,5.457543,6.953143,30.919968,11.484044,5.872578,0.001024,
5.683333,4.250193,6.040368,30.956416,10.566075,5.907867,0.001029,
5.691667,2.769098,5.818754,30.653390,9.952817,5.952559,0.000883,
5.700000,2.013005,5.541274,30.101720,9.360738,6.014537,0.001091,
5.708333,2.474159,4.892828,29.125383,8.588865,6.080923,0.001852,
5.716667,2.540109,4.637438,27.944247,7.926304,6.140161,0.001826,
5.725000,2.089649,5.116099,26.959808,7.758741,6.188471,0.001106,
5.733333,2.207908,6.132523,26.591058,8.356064,6.229771,0.000891,
5.741667,2.502118,6.897646,26.697421,9.015648,6.281566,0.001023,
5.750000,2.502591,7.048069,26.777414,9.166873,6.349505,0.001020,
5.758333,2.875374,7.530172,26.151698,9.333751,6.404703,0.000986,
5.766667,3.260000,8.340000,24.850000,9.450000,6.436000,0.001000,
5.775000,2.778548,8.800484,23.478677,9.106711,6.455133,0.001033,
5.783333,2.421202,9.297873,22.453662,8.962052,6.490013,0.000933,
5.791667,2.727028,9.819194,22.028628,9.225400,6.545524,0.000916,
5.800000,3.173158,9.692916,22.216561,9.312230,6.596933,0.001516,
5.808333,3.428662,9.335973,22.084962,9.058895,6.635639,0.002003,
5.816667,3.427883,9.387637,20.905357,8.602357,6.668508,0.001469,
5.825000,3.521213,9.425646,20.006211,8.273577,6.721114,0.000488,
5.833333,3.723010,9.296348,19.795941,8.138368,6.785486,-0.000025,
5.841667,3.701242,9.264485,19.527500,8.002294,6.825887,0.000583,
5.850000,3.457785,9.354987,19.145567,7.854720,6.856469,0.000986,
5.858333,3.178326,9.447822,18.844100,7.727563,6.897070,0.000116,
5.866667,3.188637,9.297199,18.641509,7.535785,6.916507,0.000517,
5.875000,3.448237,9.196312,18.337237,7.399023,6.912245,0.001943,
5.883333,3.545724,9.829920,17.622264,7.578275,6.920858,0.001081,
5.891667,3.429078,10.360868,16.788178,7.584235,6.955834,-0.000078,
5.900000,3.287292,10.307741,16.184857,7.263275,6.999933,0.000688,
5.908333,3.405610,11.110182,15.738697,7.679564,7.003583,0.001310,
5.916667,3.570000,12.460000,15.390000,8.540000,6.987000,0.001000,
5.925000,3.413163,13.194041,15.096060,8.912189,6.999578,0.000234,
5.933333,3.233959,13.683510,14.721275,9.071880,7.022803,0.000070,
5.941667,3.239567,14.279102,14.212723,9.291360,7.026828,0.000843,
5.950000,3.089386,14.529104,13.754138,9.240601,7.000781,0.001151,
5.958333,2.631683,14.790556,13.559016,9.237594,6.985749,0.000989,
5.966667,1.992351,15.473368,13.633496,9.616692,7.015191,0.000965,
5.975000,1.746224,15.694494,13.341557,9.604478,7.020167,0.001007,
5.983333,2.090739,15.124932,12.632295,8.981430,6.976173,0.001003,
5.991667,2.428178,14.803466,12.586751,8.803728,6.963458,0.000999,
6.000000,2.453871,15.124580,13.035706,9.222812,6.967563,0.001000,
6.008333,2.161603,15.831168,13.287359,9.773291,6.938595,0.000992,
6.016667,1.844850,15.981308,13.510373,9.904698,6.910342,0.001019,
6.025000,1.643731,15.885298,13.596837,9.825074,6.895473,0.001009,
6.033333,1.484867,16.878867,13.141114,10.317500,6.872169,0.000873,
6.041667,1.383017,18.004604,12.733244,10.936550,6.856319,0.001134,
6.050000,1.336831,18.387639,12.816721,11.232423,6.858355,0.001853,
6.058333,1.253967,18.797488,12.906370,11.541613,6.852910,0.001825,
6.066667,1.162947,19.524407,12.772172,11.987994,6.820946,0.001065,
6.075000,1.207076,20.177741,12.597957,12.399635,6.764349,0.000900,
6.083333,1.311176,20.956685,12.502475,12.946017,6.733701,0.001014,
6.091667,1.434128,21.995221,12.460681,13.701027,6.737510,0.000978,
6.100000,1.684918,22.986459,12.300406,14.402843,6.697886,0.001114,
6.108333,1.731042,23.964765,12.264268,15.102673,6.646017,0.000951,
6.116667,1.231987,25.165386,12.671054,16.023307,6.649345,0.000113,
6.125000,0.798167,26.626114,13.154765,17.179776,6.636284,0.000329,
6.133333,0.534173,28.415984,13.612518,18.602777,6.586757,0.001697,
6.141667,-0.300219,30.710255,14.406024,20.398319,6.576567,0.001830,
6.150000,-1.590191,33.890921,15.091824,22.682221,6.576785,0.000977,
6.158333,-2.632951,37.999664,15.017456,25.373235,6.518108,0.000891,
6.166667,-3.143048,41.381927,15.031572,27.698235,6.486810,0.001046,
6.175000,-3.454227,43.392067,15.436601,29.243692,6.505394,0.001011,
6.183333,-4.273401,44.795526,15.701150,30.180815,6.500954,0.000986,
6.191667,-4.991042,45.969843,16.018150,30.996018,6.466219,0.001006,
