Time(sec),PM,AM,AL,PL,GON,GRF
-0.001667,18.567571,17.198632,11.331708,13.611229,5.444967,0.155931
0.006667,18.581121,17.629915,11.703906,14.084608,5.470448,0.155167
0.015,18.852049,17.771284,11.671953,14.240063,5.469741,0.155157
0.023333,19.049003,17.440385,11.039842,13.784891,5.450195,0.155874
0.031667,18.642694,17.498209,10.498692,13.505515,5.46652,0.156089
0.04,18.358743,17.707474,10.348668,13.525163,5.478273,0.155983
0.048333,18.690236,17.667473,10.48867,13.628651,5.453589,0.156014
0.056667,18.773893,17.62001,10.524689,13.627944,5.45,0.155929
0.065,18.496138,17.657981,10.385394,13.535365,5.474599,0.155907
0.073333,18.483334,17.681057,10.324473,13.529452,5.483014,0.156484
0.081667,18.515033,17.623539,10.532515,13.582623,5.470392,0.157121
0.09,18.324568,17.478713,10.913412,13.584887,5.453543,0.157111
0.098333,18.37513,17.309764,10.990564,13.503649,5.445085,0.156572
0.106667,18.571527,17.245737,10.814047,13.430761,5.443163,0.156024
0.115,18.551693,17.377373,10.727085,13.484587,5.441194,0.155968
0.123333,18.417819,17.444559,10.928142,13.588538,5.448034,0.155968
0.131667,18.457412,17.383858,11.257263,13.696358,5.459835,0.155927
0.14,18.937317,17.438092,11.276528,13.853843,5.456725,0.156359
0.148333,19.462258,17.616999,11.133418,14.039076,5.44887,0.156957
0.156667,19.458057,17.754845,11.227749,14.172633,5.459536,0.157056
0.165,19.652832,17.578594,11.273249,14.107573,5.477034,0.15699
0.173333,20.022022,17.192678,11.033039,13.814214,5.481145,0.157005
0.181667,19.48009,17.100278,10.621199,13.451786,5.463061,0.156797
0.19,19.052285,17.302597,10.17654,13.315348,5.452436,0.15589
0.198333,19.831038,17.571038,9.870304,13.561932,5.469824,0.154373
0.206667,20.700157,17.56924,9.950185,13.788908,5.467392,0.15415
0.215,21.02371,17.375941,10.257058,13.844432,5.45049,0.154953
0.223333,21.027815,17.427654,10.306778,13.905347,5.471961,0.154584
0.231667,20.881851,17.784718,10.112673,14.050421,5.481506,0.153887
0.24,20.747062,18.272366,9.720212,14.20278,5.451164,0.153943
0.248333,20.815777,18.596109,8.962322,14.136051,5.457813,0.154068
0.256667,21.093881,18.646812,8.588399,14.084513,5.482332,0.153994
0.265,21.467968,18.47112,9.306908,14.344219,5.46904,0.153869
