Time(sec)	Fx	Fy	Fz	Tx	Ty	Tz	GON	GRFz
4	9.03	19.38	175.58	-9.35	16.51	15.18	2.9746	0.0601
4.0083	10.11	18.64	177.12	-5.99	16.67	17.11	2.9814	0.0582
4.0167	12.91	19.84	180.09	-4.04	16.93	18.67	2.9976	0.0568
4.025	15.51	23.12	179.62	-2.11	16.94	20.73	3.0067	0.0557
4.0333	17.26	27.03	175.93	-0.39	16.42	22.64	3.0029	0.0549
4.0417	17.45	28.86	170.4	0.32	14.93	23.06	2.9992	0.054
4.05	16.2	28.24	163.72	-0.3	12.46	21.79	3.007	0.054
4.0583	14.92	28.15	158.11	-1.05	9.51	20.75	3.0153	0.054
4.0667	13.71	29.64	155.68	-1.12	6.3	20.74	3.0116	0.054
4.075	12.08	32	155.01	-0.74	2.46	21.12	2.9924	0.054
4.0833	9.44	32.21	153.2	-0.33	-2.33	20.37	2.9746	0.054
4.0917	5.78	30.22	150.43	-0.14	-7.89	18.42	2.9901	0.0536
4.1	1.88	27.83	148.22	-1.79	-12.68	15.82	3.0056	0.0532
4.1083	-1.45	26.93	146.3	-5.05	-16.31	13.38	2.9989	0.053
4.1167	-3.45	28.1	145.44	-8.7	-19.54	12.09	2.9718	0.053
4.125	-5.33	29.11	144.75	-13.25	-22.88	10.66	2.9479	0.053
4.1333	-6.98	29.53	143.82	-18.57	-25.95	8.65	2.947	0.053
4.1417	-7.69	29.13	143.17	-24.15	-27.5	5.8	2.9461	0.053
4.15	-6.99	28.57	144.14	-29.8	-27.2	2.7	2.9637	0.053
4.1583	-5.91	28.81	149.13	-36.53	-26.36	-0.08	2.9847	0.053
4.1667	-4.8	29.74	157.09	-42.87	-26.51	-2.26	2.9918	0.0531
4.175	-3.27	31.37	165.69	-48.46	-27.49	-3.56	2.9691	0.0535
4.1833	-1.52	33	170.65	-54.01	-28.31	-4.59	2.9465	0.0539
4.1917	0.14	34.37	172.49	-59.71	-28.82	-5.68	2.958	0.0553
4.2	0.48	35	176.57	-65.35	-29.36	-7.35	2.978	0.057
4.2083	-0.72	35.83	183.8	-71.23	-30.78	-8.69	2.9902	0.0585
4.2167	-3.36	36.8	189.74	-77.16	-32.21	-9.89	2.9906	0.0598
4.225	-6.44	36.91	190.05	-81.81	-32.17	-11.57	2.9901	0.0613
4.2333	-9.42	35.69	184.7	-84.95	-30.92	-13.74	2.9821	0.0638
4.2417	-11.62	32.23	178.62	-87.24	-30.84	-16.08	2.9742	0.0663
4.25	-13.65	26.54	175.28	-89.24	-32.19	-19.03	2.9606	0.0681
4.2583	-15.59	20.1	172.61	-90.96	-33.39	-22.56	2.9447	0.0697
4.2667	-16.37	14.14	165.3	-92.76	-34.09	-25.72	2.9319	0.0714
4.275	-16.17	9.25	153.28	-94.6	-34.15	-28.33	2.9315	0.0735
4.2833	-15.54	6.9	140.72	-96.57	-34.03	-29.74	2.9311	0.0756
4.2917	-14.51	7.12	129.33	-98.74	-34.07	-29.89	2.9307	0.0776
4.3	-12.88	7.48	122.66	-101.59	-35.58	-29.85	2.9303	0.0796
4.3083	-11.68	8.52	118.67	-104.88	-36.61	-30.37	2.935	0.0817
4.3167	-11.77	10.05	115.71	-107.82	-36.97	-31.15	2.9529	0.0842
4.325	-13.47	10.61	114.12	-109.88	-38.15	-31.89	2.9708	0.0867
4.3333	-16.72	9.86	114.25	-111.1	-40.55	-32.57	2.9552	0.0909
4.3417	-19.79	9.15	119.04	-111.56	-40.9	-32.75	2.9351	0.0952
4.35	-22.13	7.08	128.86	-111.39	-39.48	-32.88	2.9431	0.1006
4.3583	-22.92	3.59	141.81	-110.78	-37.45	-33.25	2.97	0.1067
4.3667	-22.24	1.29	152.83	-109.26	-33.52	-33.07	2.9969	0.1128
4.375	-20.41	0.23	162.28	-106.63	-27.63	-32.35	2.998	0.1193
4.3833	-17.25	-0.21	174.17	-103.35	-20.4	-31.78	2.998	0.1259
4.3917	-12.19	0.1	189.61	-99.95	-11.98	-31.55	2.9782	0.1359
4.4	-6.27	1.19	206.09	-95.04	-0.65	-30.01	2.949	0.1476
