---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_rightturn6\PS_rightturn6-output-euler-leftlegfootpostd-2dofstj.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotZ
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotX
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotX
5.020000000000000e+000 -6.556502564336876e-001 1.482062108192113e-001 9.893032125671568e-002 -2.392161641508708e-001 -2.209838698298445e-001 1.707226908283094e+000
5.028118279569892e+000 -6.384754444540440e-001 1.440619216485588e-001 1.005291640612417e-001 -2.612668139389261e-001 -2.420205249321594e-001 1.706677118226027e+000
5.036236559139784e+000 -6.225802263461314e-001 1.399114014228858e-001 1.020601276352128e-001 -2.850589676950684e-001 -2.603664093889961e-001 1.706358673208377e+000
5.044354838709676e+000 -6.080698957321661e-001 1.358373416242691e-001 1.034012208332462e-001 -3.100542321777476e-001 -2.752665437568544e-001 1.706699189158061e+000
5.052473118279568e+000 -5.950144246040379e-001 1.319060516505387e-001 1.044504319460417e-001 -3.354937745925215e-001 -2.860353601226291e-001 1.708079704736066e+000
5.060591397849461e+000 -5.834288288416462e-001 1.281680285506287e-001 1.051351171948438e-001 -3.605344456555504e-001 -2.922121000271880e-001 1.710593629566375e+000
5.068709677419353e+000 -5.732650913543812e-001 1.246576865873295e-001 1.054155929861029e-001 -3.844414819659184e-001 -2.937455518195191e-001 1.713947712476076e+000
5.076827956989245e+000 -5.644156094578008e-001 1.213914884160610e-001 1.052789164049471e-001 -4.067700592962159e-001 -2.911275240381877e-001 1.717640367995244e+000
5.084946236559137e+000 -5.567306415607524e-001 1.183685511547230e-001 1.047266057921834e-001 -4.274680313685871e-001 -2.853705961676532e-001 1.721211834607396e+000
5.093064516129029e+000 -5.500439741616121e-001 1.155755068912524e-001 1.037638830433434e-001 -4.468690623939074e-001 -2.777664407601608e-001 1.724340602520434e+000
5.101182795698922e+000 -5.441970557474264e-001 1.129931962114865e-001 1.023967052034325e-001 -4.655763585136419e-001 -2.694741762551118e-001 1.726770812133229e+000
5.109301075268814e+000 -5.390569171020245e-001 1.106011905456027e-001 1.006358928590723e-001 -4.842627616198196e-001 -2.611104102950672e-001 1.728169711145426e+000
5.117419354838706e+000 -5.345254667306079e-001 1.083786547891420e-001 9.850238469627068e-002 -5.034550506260314e-001 -2.525280540785124e-001 1.728007586650832e+000
5.125537634408598e+000 -5.305354026612780e-001 1.063064123261252e-001 9.603027334796987e-002 -5.233962952945256e-001 -2.428715605360237e-001 1.725554390607900e+000
5.133655913978490e+000 -5.270305959136309e-001 1.043751717034834e-001 9.327027232495214e-002 -5.440303774996229e-001 -2.309125004686450e-001 1.720083919320723e+000
5.141774193548383e+000 -5.239396994112059e-001 1.025924658116924e-001 9.029534074169260e-002 -5.650298042600979e-001 -2.156050359390322e-001 1.711249532407851e+000
5.149892473118275e+000 -5.211632631137382e-001 1.009753811611940e-001 8.720245831045535e-002 -5.857414222285940e-001 -1.966333932870998e-001 1.699381077171106e+000
5.158010752688167e+000 -5.185898601804451e-001 9.953633928476834e-002 8.410492504133749e-002 -6.050995501155867e-001 -1.746025022024909e-001 1.685428659158071e+000
5.166129032258059e+000 -5.161324056429145e-001 9.828522443800658e-002 8.112068581934606e-002 -6.217469732074412e-001 -1.507596249744541e-001 1.670557140240069e+000
5.174247311827951e+000 -5.137576722255342e-001 9.724716693121546e-002 7.836371006352187e-002 -6.344787241405532e-001 -1.265650190243364e-001 1.655685275826192e+000
