---- AnyBody Output File ---------------------------------
Study: Main.Studies.InverseDynamicStudy
Operation: Main.Studies.InverseDynamicStudy.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.InverseDynamicStudy.OutputFile.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_rightturn6\Results.txt"
Main.Studies.InverseDynamicStudy.OutputFile.NumberFormat.Digits = 15
Main.Studies.InverseDynamicStudy.OutputFile.NumberFormat.Width = 22
Main.Studies.InverseDynamicStudy.OutputFile.NumberFormat.Style = ScientificNumber
Main.Studies.InverseDynamicStudy.OutputFile.NumberFormat.FormatStr = "%22.15e"
Main.Studies.InverseDynamicStudy.OutputFile.Search = 
Main.Studies.InverseDynamicStudy.OutputFile.SepSign = " "
Main.Studies.InverseDynamicStudy.OutputFile.LineSepSign = ""
Main.Studies.InverseDynamicStudy.OutputFile.Header.TitleSectionOnOff = On
Main.Studies.InverseDynamicStudy.OutputFile.Header.ConstSectionOnOff = On
Main.Studies.InverseDynamicStudy.OutputFile.Header.VarSectionOnOff = On
Main.Studies.InverseDynamicStudy.OutputFile.Header.ColumnNamesOnOff = On
Main.Studies.InverseDynamicStudy.OutputFile.Header.LinePrefix = ""
Main.Studies.InverseDynamicStudy.OutputFile.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.InverseDynamicStudy.t
col1  Main.Studies.InverseDynamicStudy.OutputFile.eTibiaForceEst[0]
col2  Main.Studies.InverseDynamicStudy.OutputFile.eTibiaForceEst[1]
col3  Main.Studies.InverseDynamicStudy.OutputFile.eTibiaForceEst[2]
col4  Main.Studies.InverseDynamicStudy.OutputFile.eTibiaMomentEst[0]
col5  Main.Studies.InverseDynamicStudy.OutputFile.eTibiaMomentEst[1]
col6  Main.Studies.InverseDynamicStudy.OutputFile.eTibiaMomentEst[2]
col7  Main.Studies.InverseDynamicStudy.OutputFile.eTibiaForceMeas[0]
col8  Main.Studies.InverseDynamicStudy.OutputFile.eTibiaForceMeas[1]
col9  Main.Studies.InverseDynamicStudy.OutputFile.eTibiaForceMeas[2]
col10  Main.Studies.InverseDynamicStudy.OutputFile.eTibiaMomentMeas[0]
col11  Main.Studies.InverseDynamicStudy.OutputFile.eTibiaMomentMeas[1]
col12  Main.Studies.InverseDynamicStudy.OutputFile.eTibiaMomentMeas[2]
----------------------------------------------------------
Main.Studies.InverseDynamicStudy.t Main.Studies.InverseDynamicStudy.OutputFile.eTibiaForceEst[0] Main.Studies.InverseDynamicStudy.OutputFile.eTibiaForceEst[1] Main.Studies.InverseDynamicStudy.OutputFile.eTibiaForceEst[2] Main.Studies.InverseDynamicStudy.OutputFile.eTibiaMomentEst[0] Main.Studies.InverseDynamicStudy.OutputFile.eTibiaMomentEst[1] Main.Studies.InverseDynamicStudy.OutputFile.eTibiaMomentEst[2] Main.Studies.InverseDynamicStudy.OutputFile.eTibiaForceMeas[0] Main.Studies.InverseDynamicStudy.OutputFile.eTibiaForceMeas[1] Main.Studies.InverseDynamicStudy.OutputFile.eTibiaForceMeas[2] Main.Studies.InverseDynamicStudy.OutputFile.eTibiaMomentMeas[0] Main.Studies.InverseDynamicStudy.OutputFile.eTibiaMomentMeas[1] Main.Studies.InverseDynamicStudy.OutputFile.eTibiaMomentMeas[2]
5.000000000000000e+000 9.692698201333062e+000 1.174065489650101e+001 1.650655947037609e+002 -2.355141715973351e-001 -4.839804998189853e-001 -4.798484917411922e-002 1.250667766081112e+002 4.080834531199310e+001 3.232247194885007e+002 1.889260194726001e+000 -3.813975106206425e-001 -5.698304140601938e-002
5.008333333333334e+000 1.433850597862440e+001 1.909420436947804e+001 2.646797701328729e+002 -3.367743497934372e-001 -2.510739335737112e+000 5.716693019607944e-002 1.045684727065757e+002 3.367430885424287e+001 3.538461139511647e+002 1.777668105877841e+000 -8.176817245551009e-001 5.118370005886438e-002
5.016666666666668e+000 1.945034083860251e+001 1.899474668035882e+001 3.197045627738177e+002 -6.800644731939265e-001 -3.389228533990432e+000 1.320095763338210e-001 8.252220762559587e+001 2.424934637736581e+001 3.873939569794413e+002 1.608745140021648e+000 -9.142200317987538e-001 1.366260058761784e-001
5.025000000000001e+000 2.796866925283632e+001 2.115574598332425e+001 4.319507865907930e+002 -1.229165143062457e+000 -5.058328395942419e+000 2.680197173691110e-001 5.982946391734620e+001 7.827294703218271e+000 4.235899327996801e+002 1.427800476807653e+000 -7.135131940019018e-001 1.376215471620936e-001
5.033333333333335e+000 3.445186867971556e+001 1.914471466628169e+001 4.857836722107988e+002 -1.704835878931363e+000 -5.339823049086751e+000 3.101687188145494e-001 3.880146441286721e+001 -1.220056195158759e+001 4.632639708415505e+002 1.322572791374415e+000 -2.583356648042164e-001 9.231313871222824e-002
5.041666666666669e+000 4.022772848689810e+001 1.811425245895526e+001 5.486553341338420e+002 -2.172237435558067e+000 -5.743833793803498e+000 3.505692687185218e-001 2.591585965985228e+001 -1.945505098518055e+001 5.127780350308264e+002 1.347003616155367e+000 4.087198341728072e-001 1.402366358436650e-001
5.050000000000003e+000 4.477652838946320e+001 1.672800337633296e+001 5.918742564904683e+002 -2.535986954556768e+000 -5.803829730304364e+000 3.538604047807978e-001 2.424742471704674e+001 -5.127380201980396e+000 5.734881002018408e+002 1.476490891906254e+000 1.263547088673149e+000 3.433016031275910e-001
5.058333333333336e+000 4.708719234185651e+001 1.539879013818589e+001 6.047682190826540e+002 -2.703820563077152e+000 -5.479315100586842e+000 3.166094293519204e-001 2.946955465719715e+001 1.952812277769460e+001 6.262435399929578e+002 1.542262475827483e+000 2.136863205346233e+000 5.179099541699821e-001
5.066666666666670e+000 4.684634415238071e+001 1.470943754848594e+001 5.843810126423093e+002 -2.613845363749070e+000 -4.855689810247066e+000 2.240068563987434e-001 3.886234517632881e+001 4.637764061165895e+001 6.642170340937676e+002 1.202821854537714e+000 2.825437237669468e+000 4.403402465436728e-001
5.075000000000004e+000 4.460321014992353e+001 1.332950236756233e+001 5.435247898486015e+002 -2.450868892565744e+000 -3.951841713657029e+000 1.384427677061575e-001 5.075374187243867e+001 7.429741799789103e+001 6.918956505374537e+002 5.628505739997995e-001 3.329319933725025e+000 1.834932941837872e-001
5.083333333333338e+000 4.085222734023662e+001 1.197557821581148e+001 4.906104922852836e+002 -2.212965107654255e+000 -3.072040795705050e+000 5.050596127067975e-002 6.014804900384273e+001 9.867865269456704e+001 7.104139174058289e+002 9.287276313079781e-002 3.665864522669015e+000 -1.705445220023488e-002
5.091666666666671e+000 3.670500209339903e+001 1.064699998751600e+001 4.378462615192940e+002 -1.974040672614005e+000 -2.345832896712074e+000 -1.535857741127189e-002 6.509092088832361e+001 1.166240582481029e+002 7.174570578066441e+002 -1.095334362160385e-001 3.822353536944195e+000 -1.269488638530506e-001
