---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_rightturn6\PS_rightturn6-output-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarEversion
5.020000000000000e+000 4.110821747673560e-001 2.440405792911953e-001 3.179798269684183e-002 8.677791899999626e-002 -1.042308367192711e-002 2.351767047317962e-001
5.028118279569892e+000 4.086613853819625e-001 2.479451872682768e-001 3.167431254918649e-002 6.181851779966133e-002 -1.277252014970407e-002 2.154922703109763e-001
5.036236559139784e+000 4.076967363567444e-001 2.512038468516635e-001 3.020393005816916e-002 4.224353253996111e-002 -1.376517166368702e-002 1.940425162319960e-001
5.044354838709676e+000 4.082214887986334e-001 2.537426847810309e-001 2.680507188857262e-002 2.845809812706484e-002 -1.370524000700414e-002 1.724232648327937e-001
5.052473118279568e+000 4.102367977142926e-001 2.554962828875769e-001 2.107845534693034e-002 2.059854114057044e-002 -1.298945385833131e-002 1.523191127330741e-001
5.060591397849461e+000 4.135432796051926e-001 2.564366677737466e-001 1.297588089037208e-002 1.841655877312835e-002 -1.206767380687883e-002 1.351435705547603e-001
5.068709677419353e+000 4.177388478959555e-001 2.565997767307524e-001 2.813766713659688e-003 2.129378848005668e-002 -1.129312705758091e-002 1.217563410662994e-001
5.076827956989245e+000 4.222368293255474e-001 2.561030475159432e-001 -8.804307298587713e-003 2.827002489165518e-002 -1.075636783984580e-002 1.123577786331082e-001
5.084946236559137e+000 4.263366759218605e-001 2.551545625569511e-001 -2.112419397235814e-002 3.814004500836805e-002 -1.020399402521822e-002 1.065290819030223e-001
5.093064516129029e+000 4.293533111711431e-001 2.540344595369437e-001 -3.341571763745425e-002 4.962622618005277e-002 -9.152840100686179e-003 1.033574316885146e-001
5.101182795698922e+000 4.307510783156546e-001 2.530362188173860e-001 -4.512435529006761e-002 6.155263001454660e-002 -7.212672495303342e-003 1.016108050818229e-001
5.109301075268814e+000 4.302211421531842e-001 2.523901366574426e-001 -5.592723653894911e-002 7.294832737408223e-002 -4.469397689410340e-003 9.994492265530428e-002
5.117419354838706e+000 4.276894616343182e-001 2.522083142198217e-001 -6.570206236143403e-002 8.307661749662933e-002 -1.718049889792101e-003 9.711672625648399e-002
5.125537634408598e+000 4.232889192825562e-001 2.524797942465331e-001 -7.448560996245528e-002 9.143594883871664e-002 -4.153759348570458e-004 9.217064196727719e-002
5.133655913978490e+000 4.173316940224117e-001 2.531063264515281e-001 -8.246619052980608e-002 9.776150075260033e-002 -2.313342276277098e-003 8.461680850611109e-002
5.141774193548383e+000 4.102836548598736e-001 2.539361908087545e-001 -8.995786024624684e-002 1.020300451016277e-001 -8.823386449704089e-003 7.466277712848732e-002
5.149892473118275e+000 4.027239230512353e-001 2.547802725441895e-001 -9.726182999510416e-002 1.044812084156927e-001 -2.036467823242796e-002 6.343629652038607e-002
5.158010752688167e+000 3.952963032413436e-001 2.554319930505256e-001 -1.044448690643508e-001 1.056636917935399e-001 -3.609699248323033e-002 5.293835171994291e-002
5.166129032258059e+000 3.886788555791695e-001 2.556884790736298e-001 -1.112262056773341e-001 1.064759121038934e-001 -5.419767468030728e-002 4.550188975727458e-002
5.174247311827951e+000 3.835657768444137e-001 2.553505201423529e-001 -1.170956846410451e-001 1.081352558425017e-001 -7.238787194237928e-002 4.287835883881518e-002
5.182365591397844e+000 3.806117172970688e-001 2.542153165588492e-001 -1.215522542634084e-001 1.120106705664500e-001 -8.834722000563218e-002 4.544589970172738e-002
