Time(sec),PM,AM,AL,PL,GON,GRF
-0.001667,3.953272,14.705498,4.419944,5.656771,7.744419,0.048029
0.006667,4.157568,14.890133,4.081723,5.692418,7.756453,0.048529
0.015,4.410375,14.938701,3.785236,5.659974,7.77269,0.048701
0.023333,4.557009,14.811917,3.660489,5.550857,7.783666,0.048466
0.031667,4.4451,14.472477,3.834125,5.357009,7.780004,0.04775
0.04,4.134446,14.064295,4.124871,5.118218,7.759974,0.047018
0.048333,4.017387,13.988737,3.926622,4.954517,7.736925,0.04745
0.056667,4.072051,14.03723,3.791147,4.943069,7.739011,0.047995
0.065,4.08993,13.848828,4.385257,5.059364,7.777745,0.047262
0.073333,4.094138,13.779259,4.444697,5.03531,7.782393,0.047179
0.081667,4.086868,13.967266,3.854528,4.922481,7.746219,0.047956
0.09,4.016562,14.156905,3.993223,5.101549,7.742263,0.047505
0.098333,4.088763,14.138364,4.277504,5.222597,7.763237,0.047067
0.106667,4.407247,13.942969,3.881101,4.986232,7.772935,0.047928
0.115,4.57274,13.977738,3.945683,5.077507,7.780967,0.047396
0.123333,4.55,14.22,4.54,5.5,7.787,0.046
0.131667,4.592287,14.328079,4.822032,5.707788,7.78148,0.046525
0.14,4.658502,14.303993,4.777252,5.686689,7.770821,0.048172
0.148333,4.631015,14.238967,4.607079,5.560992,7.765538,0.049217
0.156667,4.406896,14.219772,4.506556,5.452423,7.774913,0.048077
0.165,4.191471,14.239714,4.536956,5.428919,7.782321,0.046044
0.173333,4.344201,14.226364,4.634058,5.493308,7.759543,0.046175
0.181667,4.613388,14.207189,4.735353,5.583304,7.73576,0.047268
0.19,4.73339,14.217697,4.792045,5.644211,7.7371,0.047783
0.198333,4.728515,14.255533,4.77654,5.66687,7.754672,0.047782
0.206667,4.653177,14.314409,4.663443,5.646853,7.775956,0.047494
0.215,4.561786,14.388038,4.427362,5.579728,7.788427,0.047147
0.223333,4.508111,14.469139,4.047819,5.462363,7.779979,0.046966
0.231667,4.513799,14.500758,3.749747,5.356403,7.759281,0.04699
0.24,4.542644,14.38449,3.992773,5.383944,7.759195,0.047014
0.248333,4.47,14.24,4.38,5.43,7.772,0.047
0.256667,4.202078,14.234647,4.333756,5.342063,7.776322,0.04699
0.265,3.91659,14.327083,4.12902,5.251718,7.772952,0.047019
0.273333,3.741123,14.45497,4.023655,5.256199,7.766135,0.047089
0.281667,3.664073,14.592881,4.003455,5.32833,7.757636,0.047173
0.29,3.665935,14.717485,4.038766,5.433877,7.749079,0.04724
0.298333,3.727206,14.80545,4.099938,5.538604,7.742086,0.04726
0.306667,3.828382,14.833445,4.157318,5.608276,7.73828,0.047203
0.315,3.949958,14.778138,4.181255,5.608657,7.739284,0.047038
0.323333,4.073106,14.622247,4.14753,5.512367,7.746253,0.046747
0.331667,4.183395,14.387859,4.067295,5.33666,7.757283,0.046381
0.34,4.268154,14.112824,3.965859,5.116653,7.769247,0.046019
0.348333,4.314718,13.835033,3.868568,4.88751,7.779016,0.045741
0.356667,4.310421,13.592375,3.800769,4.684395,7.78346,0.045626
0.365,4.242596,13.422743,3.787809,4.542475,7.779449,0.045754
0.373333,4.099764,13.36234,3.855965,4.496341,7.764072,0.0462
0.381667,3.929614,13.363253,4.077925,4.552067,7.745302,0.046807
0.39,3.858963,13.264911,4.571932,4.670599,7.745314,0.047106
0.398333,3.910263,13.052226,5.08359,4.740203,7.760841,0.046966
0.406667,4.01742,12.827572,5.205567,4.651069,7.772405,0.046567
0.415,4.12918,12.655442,4.9975,4.463538,7.778287,0.046094
0.423333,4.1974,12.593004,4.602044,4.267872,7.779986,0.045728
0.431667,4.17394,12.697423,4.161853,4.154331,7.778997,0.045654
0.44,4.010681,13.025818,3.819582,4.213148,7.776817,0.046054
0.448333,3.71585,13.517774,3.719075,4.462076,7.775743,0.046811
