time(sec),semimem,bifem,vasmed,vaslat,rf,medgas,latgas,tfl,tibant,peronl,soleus,addmagnus,gmax,gmed, sartorius
1.806670,0.000068,-0.002038,-0.000165,-0.002971,0.008024,-0.000061,-0.009638,-0.033578,-0.016992,-0.000835,-0.000124,-0.000750,-0.001449,-0.000206,0.000084,
1.807503,-0.002117,0.002851,-0.036059,-0.008373,0.057219,-0.010494,-0.015335,-0.072522,0.016626,-0.055646,-0.000378,0.006143,-0.016435,-0.009136,0.003111,
1.808337,0.001033,0.002668,-0.069616,0.006120,0.099865,-0.014519,0.000150,-0.237182,-0.353452,-0.140748,-0.002219,0.007245,-0.002173,0.007552,-0.001785,
1.809170,-0.002073,0.019290,0.085925,0.005013,0.118269,-0.003570,0.031657,-0.444289,-0.475513,-0.114615,-0.009516,-0.003058,-0.013715,-0.029185,0.003559,
1.810003,0.004281,0.058103,0.001480,0.020862,0.129206,0.005738,0.030993,-0.582158,-0.483320,-0.051021,-0.018201,-0.020767,-0.000373,0.007599,-0.000081,
1.810837,-0.000196,0.103877,-0.076685,0.020754,0.150038,0.017234,-0.047292,-0.635637,-0.886862,-0.061725,-0.020845,-0.016101,-0.005147,-0.012712,0.004540,
1.811670,0.005860,0.107952,0.029029,0.027315,0.174300,0.012158,-0.081116,-0.620029,-1.001306,-0.041195,-0.023748,0.019658,0.009066,0.005855,0.003235,
1.812503,-0.000896,0.100080,0.014651,0.030660,0.179930,0.027136,-0.067263,-0.539121,-0.592491,-0.028086,-0.037935,0.011457,0.013907,-0.006588,0.000430,
1.813337,0.003189,0.087107,-0.008293,0.026085,0.281861,0.010745,-0.062187,-0.439502,-0.372083,-0.022593,-0.025442,0.021715,0.007257,0.000008,0.002535,
1.814170,-0.001566,0.083338,-0.000453,0.018335,0.261437,0.011196,-0.135927,-0.351209,0.074267,-0.032223,-0.023375,0.010463,0.012171,-0.001978,-0.002655,
1.815003,0.000555,0.056369,-0.045163,0.007570,0.181647,0.021155,-0.083869,-0.272005,0.350883,0.018377,-0.020919,-0.000174,0.006380,0.001339,0.003018,
1.815837,0.001007,0.033594,0.028914,0.018660,0.059983,0.031298,0.083747,-0.111998,0.170784,0.050919,-0.018542,0.013301,0.015523,0.009807,-0.002724,
1.816670,-0.001276,0.011113,0.047197,0.018939,-0.056943,0.020700,0.099111,0.162302,0.001278,-0.003726,0.000839,0.031195,0.013965,-0.004345,0.002703,
1.817503,0.002097,0.001340,0.030723,0.023645,-0.099045,-0.001047,0.193061,0.272548,0.102038,-0.020735,0.001367,0.013823,0.010855,0.007560,-0.002066,
1.818337,-0.003062,-0.020853,0.017467,0.009710,-0.136932,0.010128,0.239827,0.288024,0.345186,0.022027,0.001208,-0.022659,0.004965,-0.009561,0.002043,
1.819170,0.002166,-0.042763,-0.022193,0.005631,-0.168141,-0.010348,0.089834,0.275910,0.464154,0.047523,0.021737,-0.021204,0.016727,0.008991,-0.002214,
1.820003,-0.004648,-0.039934,-0.031816,-0.005420,-0.147788,-0.004825,0.007927,0.332080,0.541802,0.049673,0.020246,-0.017846,0.004924,-0.008805,-0.000801,
1.820837,0.002891,-0.042695,0.048244,-0.008995,-0.135363,0.008052,-0.040584,0.366715,0.236637,0.044223,0.010642,0.058647,0.006616,0.008160,-0.000586,
1.821670,-0.001919,-0.038793,-0.026473,-0.016436,-0.169290,-0.005465,-0.052397,0.338511,-0.213938,0.057453,-0.007357,0.092433,-0.007824,-0.002062,-0.001419,
1.822503,0.001826,-0.047098,-0.053340,-0.015440,-0.161801,-0.004051,0.038044,0.284731,0.153774,0.053847,-0.007934,0.076159,0.003998,0.008594,0.002193,
1.823337,-0.001438,-0.033827,0.002270,-0.017660,-0.099877,-0.024808,0.047731,0.219271,0.167054,-0.019044,-0.004949,0.016056,-0.018216,0.002443,-0.003180,
