Time(sec)	Fx	Fy	Fz	Tx	Ty	Tz	GON	GRFz
1.983333	-18.22	14.12	86.48	-23.32	-0.7	-23.77	1.7731	0.0069
1.991733	-19.36	13.66	85.76	-22.59	-0.71	-25.41	1.797	0.0059
2.000033	-20.05	12.89	86.22	-21.25	0.38	-26.33	1.7966	0.0052
2.008333	-20.74	11.01	85.33	-21.61	1.07	-27.24	1.7962	0.0045
2.016733	-20.78	9.08	83.41	-25.54	1.65	-28.29	1.7951	0.0039
2.025033	-18.64	8.39	80.15	-30.3	3.38	-28.72	1.7923	0.0034
2.033333	-13.53	9.82	76.36	-33.58	6.08	-28.36	1.7883	0.0031
2.041733	-6.14	13.01	72.5	-35.58	9.38	-27.14	1.778	0.0035
2.050033	0.89	16.37	69.07	-36.73	11.78	-25.03	1.7677	0.0039
2.058333	6.62	18.86	63.9	-36.61	12.75	-22.28	1.7587	0.0037
2.066733	11.03	20.18	57.8	-36.92	11.86	-20.54	1.7503	0.0033
2.075033	14.71	21.2	53.51	-36.71	10.45	-19.84	1.7442	0.0031
2.083333	18	22.61	50.91	-35.55	9.35	-19.55	1.745	0.0035
2.091733	20.06	24.55	50.05	-35.2	9.01	-19.09	1.7458	0.0039
2.100033	20.04	26.31	51.15	-37.17	8.68	-18.91	1.7529	0.004
2.108333	18.12	25.87	54.94	-38.62	8.33	-18.82	1.7625	0.004
2.116733	16.38	23.78	60.21	-38.26	9.05	-18.93	1.7658	0.0039
2.125033	15.17	20.8	64.38	-37.27	9.73	-19.71	1.7559	0.0035
2.133333	14.84	17.9	65.7	-34.27	10.45	-19.65	1.746	0.0031
2.141733	15.37	15.27	64.29	-28.65	11.67	-18.12	1.7607	0.003
2.150033	15.83	12.01	62.07	-21.9	13.78	-16.2	1.7815	0.003
2.158333	15.53	6.71	59.32	-14.92	15	-15.23	1.775	0.0033
2.166733	14.36	0.48	57.26	-7.51	15.58	-14.55	1.7532	0.0037
2.175033	12.78	-3.87	55.13	-2.21	16.06	-14.13	1.7361	0.0041
2.183333	11.37	-6.01	52.7	0.37	16.54	-14.09	1.7531	0.0049
2.191733	11.62	-7.73	52.78	1.68	18.13	-14.09	1.7702	0.0058
2.200033	13.33	-9.43	56.82	2.35	21.47	-13.87	1.7647	0.0094
2.208333	14.99	-9.68	63.42	1.53	24.29	-13.6	1.7504	0.0142
2.216733	17.07	-8.14	70.7	0.21	25.18	-12.85	1.7379	0.0194
2.225033	19.51	-4.84	79.17	-0.99	25.09	-11.59	1.7327	0.0264
2.233333	22.29	-0.99	88.35	-1.35	25.2	-10.46	1.7274	0.0334
2.241733	25.47	2.98	97.78	-0.95	25.4	-9.7	1.731	0.0329
2.250033	28.16	5.4	105.06	0.35	24.43	-10.09	1.7354	0.0317
2.258333	28.51	7.3	109.96	2.29	22.31	-11.49	1.733	0.0318
2.266733	26.56	9.04	112.1	3.86	19.06	-13.28	1.7205	0.0339
2.275033	23.93	9.63	112.23	4.97	16.77	-14.58	1.708	0.036
2.283333	20.77	8.94	110.46	5.71	15.65	-15.37	1.7263	0.0412
2.291733	17.98	7.74	111.26	7.05	15.8	-16.95	1.7445	0.0463
