---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_ngait_og_ss9\PS_ngait_og_ss9-output-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarEversion
4.161666666666666e+000 4.932061296208296e-001 2.109498116466790e-001 2.232183621749707e-001 4.422417270525775e-002 -2.748442348513917e-002 2.698852579116984e-001
4.169729729729729e+000 4.992558813198155e-001 2.093765153330216e-001 2.182739167016630e-001 6.195002091757242e-002 -2.009873868771827e-002 2.759767689348394e-001
4.177792792792793e+000 5.037145812567665e-001 2.078532319327686e-001 2.125123893156589e-001 8.209339014847748e-002 -1.436594028068323e-002 2.846104758499882e-001
4.185855855855856e+000 5.059649611453552e-001 2.064690639733582e-001 2.062118576623982e-001 1.022999737186572e-001 -1.058528592979287e-002 2.939441286739942e-001
4.193918918918919e+000 5.056165732649779e-001 2.051940234804885e-001 1.994407370680553e-001 1.203143343658859e-001 -9.431778072117670e-003 3.026450407561410e-001
4.201981981981982e+000 5.026940492071654e-001 2.039171059036804e-001 1.921647566485879e-001 1.344243021861789e-001 -1.191515590067083e-002 3.100658186543455e-001
4.210045045045045e+000 4.976110660068536e-001 2.025103591992088e-001 1.843829741693158e-001 1.437585271929135e-001 -1.901245326154853e-002 3.161477015606548e-001
4.218108108108108e+000 4.910789594969180e-001 2.008775331881021e-001 1.761876030828107e-001 1.484486069033577e-001 -3.108757576654926e-002 3.212997550951940e-001
4.226171171171171e+000 4.839790472008874e-001 1.989633188514446e-001 1.678082049634870e-001 1.495836927645785e-001 -4.738795622262072e-002 3.263226886018692e-001
4.234234234234235e+000 4.772267938288344e-001 1.967268582066457e-001 1.596781245095071e-001 1.489584895360822e-001 -6.593656064002529e-002 3.321390071761831e-001
4.242297297297298e+000 4.716274293131085e-001 1.940824178662863e-001 1.524396833589544e-001 1.486635302495880e-001 -8.395815012124835e-002 3.392634033290786e-001
4.250360360360361e+000 4.677193362368018e-001 1.908368162179537e-001 1.468033962475466e-001 1.506009766811842e-001 -9.864800645703425e-002 3.473515930298244e-001
4.258423423423424e+000 4.656294673751831e-001 1.866910874342731e-001 1.433307123700053e-001 1.560462605513815e-001 -1.079094091731567e-001 3.552057565943773e-001
4.266486486486487e+000 4.649829834131319e-001 1.813391863132869e-001 1.423005155561260e-001 1.653711440890340e-001 -1.107874264972885e-001 3.613087359574877e-001
4.274549549549550e+000 4.649351532469228e-001 1.746129512958261e-001 1.437057281220922e-001 1.780138460560983e-001 -1.075247831744258e-001 3.645692551831362e-001
4.282612612612613e+000 4.643826066155917e-001 1.665828977807384e-001 1.472968072885838e-001 1.927207691552391e-001 -9.928699589632355e-002 3.647693595813202e-001
4.290675675675677e+000 4.622806498128098e-001 1.575536354150902e-001 1.526385389385085e-001 2.079412782627247e-001 -8.768719165548262e-002 3.624420929050374e-001
4.298738738738740e+000 4.579067846679324e-001 1.479607992965071e-001 1.592089402441259e-001 2.221925544388424e-001 -7.430024240482605e-002 3.583945730605171e-001
4.306801801801803e+000 4.509950014960871e-001 1.382331925160594e-001 1.665038138072454e-001 2.343253639407621e-001 -6.032753001646277e-002 3.533145571413756e-001
4.314864864864866e+000 4.417495361787284e-001 1.286845228160856e-001 1.740769589368395e-001 2.436929587689294e-001 -4.648668519455718e-002 3.476670175035272e-001
4.322927927927929e+000 4.307504426268543e-001 1.194557774174305e-001 1.815146322030676e-001 2.501898510163371e-001 -3.310002714941551e-002 3.417899548690890e-001
